feature	importance
SSO:000019339__Mannitol-1-phosphate 5-dehydrogenase (EC 1.1.1.17)	0.029911612865858295
SSO:000000035__14-dihydroxy-2-naphthoate polyprenyltransferase (EC 2.5.1.74)	0.005476954938128041
SSO:000029108__YaiI/YqxD family protein	0.004644069597668039
SSO:000018889__LemA family protein	0.0038942451576662426
SSO:000000542__ATP phosphoribosyltransferase (EC 2.4.2.17)	0.0038566955722429733
SSO:000000420__5-deoxy-glucuronate isomerase (EC 5.3.1.-)	0.003815576945334522
SSO:000043945__histidinol-phosphate transaminase (EC 2.6.1.9)	0.0036243069208967723
SSO:000003446__Histidinol dehydrogenase (EC 1.1.1.23)	0.003575999920842908
SSO:000043034__inositol 2-dehydrogenase (EC 1.1.1.18)	0.003538225367829705
SSO:000020822__Organic hydroperoxide resistance protein	0.0034803852524114554
SSO:000024550__Serine O-acetyltransferase	0.00344977759947122
SSO:000017597__HTH domain-containing protein	0.003308632044651569
SSO:000016592__FMN-dependent NADH-azoreductase (EC 1.7.1.6)	0.0031908112343705893
SSO:000006841__Pyruvate carboxylase (EC 6.4.1.1)	0.0031854096544391987
SSO:000043071__D-amino-acid transaminase (EC 2.6.1.21)	0.003127597117819901
SSO:000025246__Sugar phosphate isomerase/epimerase	0.003057173924388048
SSO:000000543__ATP phosphoribosyltransferase regulatory subunit (EC 2.4.2.17)	0.002944975688763688
SSO:000019235__MOSC domain containing protein	0.002943999843400476
SSO:000007779__Succinate dehydrogenase flavoprotein subunit (EC 1.3.99.1)	0.0028833218170948387
SSO:000000049__1-phosphofructokinase (EC 2.7.1.56)	0.0027387141863111954
