feature	importance
SSO:000019339__Mannitol-1-phosphate 5-dehydrogenase (EC 1.1.1.17)	0.01595637931628706
SSO:000002977__GMP reductase (EC 1.7.1.7)	0.007565088220326706
SSO:000023873__RNase E specificity factor CsrD	0.005809862477107817
SSO:000029108__YaiI/YqxD family protein	0.005074566295499131
SSO:000005953__Phosphoenolpyruvate carboxykinase ATP (EC 4.1.1.49)	0.004681260935468183
SSO:000012882__DNA topoisomerase IV subunit B	0.004529937315769333
SSO:000000624__ATP-dependent protease subunit HslV (EC 3.4.25.2)	0.004302261944176144
SSO:000017332__Glycerol-3-phosphate transporter	0.004286873844419081
SSO:000044352__formate C-acetyltransferase (EC 2.3.1.54)	0.004122970663969892
SSO:000005654__PTS IIA-like nitrogen-regulatory protein PtsN (EC 2.7.1.69 )	0.004030401555613603
SSO:000043162__1-(5-phosphoribosyl)-5-(5-phosphoribosylamino)methylideneaminoimidazole-4-carboxamide isomerase (EC 5.3.1.16)	0.003973734689501773
SSO:000006028__Phosphopentomutase (EC 5.4.2.7)	0.003694171938277651
SSO:000016592__FMN-dependent NADH-azoreductase (EC 1.7.1.6)	0.003563402975466035
SSO:000000219__2-succinyl-6-hydroxy-24-cyclohexadiene-1-carboxylate synthase (EC 4.2.99.20)	0.0034987196574965376
SSO:000029372__anaerobic ribonucleoside-triphosphate reductase activating protein	0.003433058342701112
SSO:000029759__coproporphyrinogen III oxidase	0.00300394091246649
SSO:000001182__Beta-galactosidase (EC 3.2.1.23)	0.0029550412725100265
SSO:000002138__DNA-binding protein HU-alpha	0.002907359277456981
SSO:000042555__erythrose-4-phosphate dehydrogenase (EC 1.2.1.72)	0.0029014889791344617
SSO:000008961__Xanthine phosphoribosyltransferase (EC 2.4.2.22)	0.002872678735545832
