feature	importance
SSO:000036545__L-rhamnose mutarotase (EC 5.1.3.32)	0.009679018038871256
SSO:000005105__N-acetylglucosamine-6-phosphate deacetylase (EC 3.5.1.25)	0.009330216507566656
SSO:000029073__Xylose isomerase	0.006577081832132325
SSO:000010479__Alpha-N-arabinofuranosidase( EC:3.2.1.55 )	0.006535702019824102
SSO:000018761__L-glyceraldehyde 3-phosphate reductase	0.005840173606801866
SSO:000001182__Beta-galactosidase (EC 3.2.1.23)	0.005808898203692958
SSO:000042678__glucuronate isomerase (EC 5.3.1.12)	0.005518288542088626
SSO:000000811__Adenosine deaminase (EC 3.5.4.4)	0.005390130764725088
SSO:000000420__5-deoxy-glucuronate isomerase (EC 5.3.1.-)	0.00538731761254914
SSO:000013154__Dipeptidase	0.004998997200510795
SSO:000042917__5-dehydro-2-deoxygluconokinase (EC 2.7.1.92)	0.00496838695035628
SSO:000025241__Sugar kinase	0.004905824553815252
SSO:000027090__beta-glucosidase (EC 3.2.1.21)	0.004733370688972535
SSO:000033834__xylulokinase	0.003948401657805844
SSO:000007416__Septum formation protein Maf	0.0037086695272739952
SSO:000006580__Purine nucleoside phosphorylase (EC 2.4.2.1)	0.0036737588734537733
SSO:000005313__Nicotinate phosphoribosyltransferase (EC 6.3.4.21)	0.0036056578479478165
SSO:000005114__N-acetylmuramic acid 6-phosphate etherase (EC 4.2.-.-)	0.003574014924466225
SSO:000000919__Alpha-galactosidase (EC 3.2.1.22)	0.003535655333291825
SSO:000019560__Methionine biosynthesis protein MetW	0.003476735464383149
