feature	importance
SSO:000007068__Ribokinase (EC 2.7.1.15)	0.00756454106088243
SSO:000007588__Site-specific tyrosine recombinase XerD	0.007193913208569627
SSO:000030003__glucose-6-phosphate dehydrogenase	0.005727601217441648
SSO:000021634__Phosphodiesterase	0.0051251827250393305
SSO:000001182__Beta-galactosidase (EC 3.2.1.23)	0.0050749902593406025
SSO:000010702__Antibiotic biosynthesis monooxygenase	0.004644000857744545
SSO:000005994__Phosphomevalonate kinase (EC 2.7.4.2)	0.004554077067951603
SSO:000000995__Anthranilate phosphoribosyltransferase (EC 2.4.2.18)	0.004307122322214759
SSO:000039286__Sugar O-acetyltransferase	0.004306328125309471
SSO:000025246__Sugar phosphate isomerase/epimerase	0.004170205613215567
SSO:000019343__Mannose-6-phosphate isomerase class I (EC 5.3.1.8)	0.004117240306067253
SSO:000000035__14-dihydroxy-2-naphthoate polyprenyltransferase (EC 2.5.1.74)	0.004113831858220654
SSO:000018718__LD-transpeptidase	0.003909208892458666
SSO:000013106__Diguanylate cyclase	0.0038090236180057632
SSO:000000847__Alanine dehydrogenase (EC 1.4.1.1)	0.0036484225687604547
SSO:000004907__Mevalonate kinase (EC 2.7.1.36)	0.003524186086059385
SSO:000005114__N-acetylmuramic acid 6-phosphate etherase (EC 4.2.-.-)	0.0034319728289729217
SSO:000002350__Diphosphomevalonate decarboxylase (EC 4.1.1.33)	0.003411167860745879
SSO:000007384__Selenocysteine-specific translation elongation factor	0.003347743029931151
SSO:000008068__Thymidylate synthase (EC 2.1.1.45)	0.0032281090221883673
