feature	importance
SSO:000029372__anaerobic ribonucleoside-triphosphate reductase activating protein	0.014121098179461377
SSO:000044352__formate C-acetyltransferase (EC 2.3.1.54)	0.009028783006336244
SSO:000001182__Beta-galactosidase (EC 3.2.1.23)	0.007901349940344622
SSO:000017977__Hydroxylase	0.006996993643487823
SSO:000006811__Pyridoxamine 5'-phosphate oxidase (EC 1.4.3.5)	0.0069221053009327835
SSO:000003114__Glucosamine-6-phosphate deaminase (EC 3.5.99.6)	0.006791950469673038
SSO:000039072__S-(hydroxymethyl)mycothiol dehydrogenase (EC 1.1.1.306)	0.005979943308805628
SSO:000036082__Glucose-6-phosphate dehydrogenase (coenzyme F420) (EC 1.1.98.2)	0.0049810885322377155
SSO:000010245__Acyl-CoA dehydrogenase	0.0037549542957996678
SSO:000036507__L-glutamate gamma-semialdehyde dehydrogenase (EC 1.2.1.88)	0.0037517896818927703
SSO:000012589__Cytochrome P-450	0.0036462170017698753
SSO:000000286__3-hydroxyacyl-CoA dehydrogenase (EC 1.1.1.35)	0.003596253213416282
SSO:000010239__Acyl dehydratase	0.00351097909332805
SSO:000004155__L-lactate dehydrogenase (EC 1.1.1.27)	0.0034710123573278968
SSO:000018961__Lipid-transfer protein	0.003308736156400288
SSO:000004891__Methylmalonyl-CoA mutase (EC 5.4.99.2)	0.0032932630351325104
SSO:000034830__D-ribose pyranase (EC 5.4.99.62)	0.003290956888426341
SSO:000020822__Organic hydroperoxide resistance protein	0.003227902693480875
SSO:000024197__Rieske (2Fe-2S) protein	0.0032162781181040126
SSO:000001864__Cysteine synthase (EC 2.5.1.47)	0.0032004224519673243
