feature	importance
SSO:000044077__Magnesium transporter	0.00706254764093084
SSO:000043641__N4-(beta-N-acetylglucosaminyl)-L-asparaginase (EC 3.5.1.26)	0.006776737292318337
SSO:000025471__Tagatose-bisphosphate aldolase (EC 4.1.2.40)	0.006694878275835393
SSO:000010272__Acyl-CoA thioesterase	0.005424030815455411
SSO:000000450__6-phospho-beta-galactosidase (EC 3.2.1.85)	0.005366951402416237
SSO:000005114__N-acetylmuramic acid 6-phosphate etherase (EC 4.2.-.-)	0.0047397921102624
SSO:000009334__tRNA (cytidine(34)-2'-O)-methyltransferase (EC 2.1.1.207)	0.00471136494375816
SSO:000000847__Alanine dehydrogenase (EC 1.4.1.1)	0.0044456851964164035
SSO:000019509__Metal-dependent hydrolase	0.004407746157548572
SSO:000006782__Putrescine carbamoyltransferase (EC 2.1.3.6)	0.004246610998557832
SSO:000007416__Septum formation protein Maf	0.004215367650128937
SSO:000001094__Aspartate ammonia-lyase (EC 4.3.1.1)	0.004098056071132845
SSO:000012290__CoA-binding protein	0.004046156541310179
SSO:000020985__Oxygen-independent coproporphyrinogen III oxidase	0.004032220673282864
SSO:000029108__YaiI/YqxD family protein	0.00391403746931495
SSO:000026225__Tryptophan-rich sensory protein	0.003508854959704381
SSO:000018921__Pullulanase (EC 3.2.1.41)	0.0032497217231077058
SSO:000018613__Iron-containing alcohol dehydrogenase	0.003178200057521238
SSO:000008902__V-type ATP synthase subunit K (EC 3.6.3.14)	0.0031584477096181056
SSO:000010559__Amidohydrolase family protein	0.0030041505626480828
