feature	importance
SSO:000029073__Xylose isomerase	0.030591368613829013
SSO:000033834__xylulokinase	0.022207649686358986
SSO:000018739__L-arabinose isomerase (EC 5.3.1.4)	0.014593004281605534
SSO:000029337__alpha-xylosidase (EC 3.2.1.177)	0.009922859710939314
SSO:000004170__L-ribulose-5-phosphate 4-epimerase (EC 5.1.3.4)	0.009438040954329239
SSO:000042678__glucuronate isomerase (EC 5.3.1.12)	0.008570142394479834
SSO:000001182__Beta-galactosidase (EC 3.2.1.23)	0.008504806367413062
SSO:000010479__Alpha-N-arabinofuranosidase( EC:3.2.1.55 )	0.0070287664942633695
SSO:000025241__Sugar kinase	0.0053922683088730595
SSO:000004709__Mannonate dehydratase (EC 4.2.1.8)	0.004795350482497642
SSO:000000457__6-phosphogluconolactonase (EC 3.1.1.31)	0.004459566468551564
SSO:000000919__Alpha-galactosidase (EC 3.2.1.22)	0.004251736666517101
SSO:000010516__Endo-14-beta-xylanase (EC 3.2.1.8)	0.004174927070195775
SSO:000039420__Tagaturonate reductase (EC 1.1.1.58)	0.0036983326281945124
SSO:000000936__Altronate dehydratase (EC 4.2.1.7)	0.003539644840846396
SSO:000000049__1-phosphofructokinase (EC 2.7.1.56)	0.0034381694559467916
SSO:000003118__Glucose 1-dehydrogenase (EC 1.1.1.47)	0.0034091037008358006
SSO:000033632__transglutaminase family protein	0.0032918991779365904
SSO:000000453__6-phosphofructokinase (EC 2.7.1.11)	0.003144327517504734
SSO:000036545__L-rhamnose mutarotase (EC 5.1.3.32)	0.0031295248857197795
