feature	importance
SSO:000029073__Xylose isomerase	0.012371218872993904
SSO:000026177__Trehalose-6-phosphate synthase	0.007840822596412743
SSO:000002538__Enoyl-CoA hydratase (EC 4.2.1.17)	0.007760046833754474
SSO:000029372__anaerobic ribonucleoside-triphosphate reductase activating protein	0.007649514977296886
SSO:000029337__alpha-xylosidase (EC 3.2.1.177)	0.007157407114097785
SSO:000001635__Cobalt-precorrin-6A reductase (EC 1.3.1.54)	0.00704461901987604
SSO:000005954__Phosphoenolpyruvate carboxykinase GTP (EC 4.1.1.32)	0.006774398302982954
SSO:000019203__METHYL-ACCEPTING CHEMOTAXIS PROTEIN	0.0065169183411918526
SSO:000010727__Antitoxin	0.0063125009121150575
SSO:000001182__Beta-galactosidase (EC 3.2.1.23)	0.00607118058610511
SSO:000036947__Mycothione reductase (EC 1.8.1.15)	0.006006179572759826
SSO:000043812__N-acetyl-1-D-myo-inositol-2-amino-2-deoxy-alpha-D-glucopyranoside deacetylase (EC 3.5.1.103)	0.005648639409718849
SSO:000010503__Alpha-ketoglutarate-dependent dioxygenase AlkB (EC 1.14.11.33)	0.005292473319588054
SSO:000029482__c-type cytochrome	0.004629971471096562
SSO:000043620__mycothiol synthase (EC 2.3.1.189)	0.00460579486885468
SSO:000035277__Cytochrome c oxidase subunit 4 (EC 1.9.3.1)	0.004377703896666833
SSO:000012160__Chemotaxis response regulator protein-glutamate methylesterase (EC 3.1.1.61)	0.004265382144572665
SSO:000021874__Polyphosphate kinase 2 (EC 2.7.4.1)	0.004175886472304919
SSO:000004709__Mannonate dehydratase (EC 4.2.1.8)	0.004036339141467338
SSO:000004891__Methylmalonyl-CoA mutase (EC 5.4.99.2)	0.003985050581591721
