feature	importance
SSO:000000142__2-dehydro-3-deoxy-6-phosphogalactonate aldolase (EC 4.1.2.21)	0.013614331475682563
SSO:000009528__2-dehydro-3-deoxygalactonokinase (EC 2.7.1.58)	0.009335889717167945
SSO:000033834__xylulokinase	0.008368435227941865
SSO:000010479__Alpha-N-arabinofuranosidase( EC:3.2.1.55 )	0.007915428167076848
SSO:000018761__L-glyceraldehyde 3-phosphate reductase	0.007499898101734157
SSO:000034571__Aldose 1-epimerase family protein	0.006754121607797662
SSO:000003108__Gluconokinase (EC 2.7.1.12)	0.006568951959308652
SSO:000036545__L-rhamnose mutarotase (EC 5.1.3.32)	0.006465048185221539
SSO:000029073__Xylose isomerase	0.006091090059490142
SSO:000025241__Sugar kinase	0.005975701620042674
SSO:000001182__Beta-galactosidase (EC 3.2.1.23)	0.004886783142988925
SSO:000000417__5-dehydro-4-deoxyglucarate dehydratase (EC 4.2.1.41)	0.004881683233332029
SSO:000036484__L-arabinose ABC transporter ATP-binding protein AraG	0.004876853905278341
SSO:000003007__Galactonate dehydratase (EC 4.2.1.6)	0.004824950859987858
SSO:000018739__L-arabinose isomerase (EC 5.3.1.4)	0.004810354489705951
SSO:000000381__4-hydroxyproline epimerase (EC 5.1.1.8)	0.00445000541957101
SSO:000034554__Aldehyde dehydrogenase (NAD(P)(+)) (EC 1.2.1.5)	0.003973855111625365
SSO:000000936__Altronate dehydratase (EC 4.2.1.7)	0.003654172408670827
SSO:000005105__N-acetylglucosamine-6-phosphate deacetylase (EC 3.5.1.25)	0.003489564527783106
SSO:000007156__Ribulokinase (EC 2.7.1.16)	0.003381401514989143
