feature	importance
SSO:000018739__L-arabinose isomerase (EC 5.3.1.4)	0.028555759319523203
SSO:000004170__L-ribulose-5-phosphate 4-epimerase (EC 5.1.3.4)	0.018112359896129953
SSO:000029073__Xylose isomerase	0.015644008058508196
SSO:000001182__Beta-galactosidase (EC 3.2.1.23)	0.012479380006666872
SSO:000010479__Alpha-N-arabinofuranosidase( EC:3.2.1.55 )	0.00864023188344567
SSO:000033834__xylulokinase	0.007923749600724518
SSO:000000919__Alpha-galactosidase (EC 3.2.1.22)	0.007507414530637535
SSO:000036545__L-rhamnose mutarotase (EC 5.1.3.32)	0.006147791240673109
SSO:000042678__glucuronate isomerase (EC 5.3.1.12)	0.006030112938707643
SSO:000016921__Fumarylacetoacetate hydrolase family protein	0.004789482386187652
SSO:000010516__Endo-14-beta-xylanase (EC 3.2.1.8)	0.0040630897829309395
SSO:000013098__Dienelactone hydrolase family protein	0.00396441182559511
SSO:000029337__alpha-xylosidase (EC 3.2.1.177)	0.0038628709885485256
SSO:000039420__Tagaturonate reductase (EC 1.1.1.58)	0.003785656147853647
SSO:000000817__Adenosylhomocysteinase (EC 3.3.1.1)	0.0034642684767306926
SSO:000000936__Altronate dehydratase (EC 4.2.1.7)	0.0034321033687320754
SSO:000003118__Glucose 1-dehydrogenase (EC 1.1.1.47)	0.0032789487929192574
SSO:000003108__Gluconokinase (EC 2.7.1.12)	0.003074036161825214
SSO:000008019__Thiazole synthase (EC 2.8.1.10)	0.003002485904819007
SSO:000007156__Ribulokinase (EC 2.7.1.16)	0.002895547574921695
