feature	importance
SSO:000001479__Cell division topological specificity factor MinE	0.007540685836961763
SSO:000029506__carbohydrate kinase	0.00686693229487398
SSO:000029307__aldolase	0.005612189131146382
SSO:000001022__Apolipoprotein N-acyltransferase (EC 2.3.1.-)	0.004938008546201535
SSO:000002919__Formyltetrahydrofolate deformylase (EC 3.5.1.10)	0.004904125938424481
SSO:000005945__Phosphatidylserine decarboxylase (EC 4.1.1.65)	0.004788433895499641
SSO:000012812__DNA polymerase III subunit epsilon	0.003990738969438459
SSO:000036573__LPS-assembly protein LptD	0.003703186149124016
SSO:000025241__Sugar kinase	0.003489766607589767
SSO:000008954__Xaa-Pro aminopeptidase (EC 3.4.11.9)	0.0033578237936610056
SSO:000017481__GtrA family protein	0.003222758085830435
SSO:000044033__glutathione-disulfide reductase (EC 1.8.1.7)	0.0031506794802054977
SSO:000030144__hsp20/alpha crystallin family protein	0.0031468455165003244
SSO:000008604__UDP-3-O-3-hydroxymyristoyl glucosamine N-acyltransferase (EC 2.3.1.-)	0.0031153165475351213
SSO:000012759__DNA gyrase inhibitor YacG	0.003032105007853093
SSO:000007071__Ribonuclease D (EC 3.1.26.3)	0.002833892712186519
SSO:000005468__O-methyltransferase (EC 2.1.1.-)	0.002824973626264375
SSO:000009944__ACT domain-containing protein	0.0028218706280430652
SSO:000007937__Tetraacyldisaccharide 4'-kinase (EC 2.7.1.130)	0.0028144324655784586
SSO:000021665__Phosphohydrolase	0.0027448094297662868
