feature	importance
SSO:000003148__Glutamate decarboxylase (EC 4.1.1.15)	0.015181564858980534
SSO:000020341__NADH:flavin oxidoreductase	0.007640926884202476
SSO:000011068__Phenylacetate CoA-ligase (EC 6.2.1.30)	0.0075763858417310535
SSO:000021837__Polyamine ABC transporter ATP-binding protein	0.0072795027404373115
SSO:000009749__Adenosine kinase (EC 2.7.1.20)	0.00655658386741254
SSO:000038542__Phosphomethylpyrimidine synthase ThiC (EC 4.1.99.17)	0.005999816910843031
SSO:000012966__DUF1275 domain-containing protein	0.0054472249831275295
SSO:000000536__AMP nucleosidase (EC 3.2.2.4)	0.0053910545568473245
SSO:000020652__Nucleoside Triphosphate Pyrophosphohydrolase (EC 3.6.1.8)	0.005091680145731767
SSO:000002535__Energy-dependent translational throttle protein EttA	0.004964734239510821
SSO:000000826__Adenylylsulfate kinase (EC 2.7.1.25)	0.004918297467477066
SSO:000026225__Tryptophan-rich sensory protein	0.004828655587754529
SSO:000000049__1-phosphofructokinase (EC 2.7.1.56)	0.004801296817344541
SSO:000002246__Deoxyguanosinetriphosphate triphosphohydrolase (EC 3.1.5.1)	0.004727086728914033
SSO:000017273__Glutaminase A	0.004703686075418625
SSO:000007088__Ribonuclease M5 (EC 3.1.26.8)	0.00459907174884061
SSO:000018454__Inositol monophosphatase	0.004587138100375325
SSO:000021054__PASTA domain containing protein	0.00426223768707629
SSO:000000817__Adenosylhomocysteinase (EC 3.3.1.1)	0.004204588227804195
SSO:000025277__Sulfotransferase	0.0039805850118531366
