feature	importance
SSO:000036545__L-rhamnose mutarotase (EC 5.1.3.32)	0.020469306490675177
SSO:000024110__Rhamnulokinase (EC 2.7.1.5)	0.015789821293240427
SSO:000018777__L-rhamnose isomerase	0.015137643084834621
SSO:000007040__Rhamnulose-1-phosphate aldolase (EC 4.1.2.19)	0.010444611451132587
SSO:000002919__Formyltetrahydrofolate deformylase (EC 3.5.1.10)	0.0049626296739517925
SSO:000042917__5-dehydro-2-deoxygluconokinase (EC 2.7.1.92)	0.004191406543817616
SSO:000037093__NADH-quinone oxidoreductase (EC 7.1.1.2) subunit L	0.00401412290759152
SSO:000005727__Pantoate--beta-alanine ligase (EC 6.3.2.1)	0.0040102898585080565
SSO:000000936__Altronate dehydratase (EC 4.2.1.7)	0.003716892868197699
SSO:000004083__Ketol-acid reductoisomerase (EC 1.1.1.86)	0.0035628953995242804
SSO:000000686__Acetolactate synthase small subunit (EC 2.2.1.6)	0.0034990858116137305
SSO:000006304__Prephenate dehydratase (EC 4.2.1.51)	0.003361930211810461
SSO:000037094__NADH-quinone oxidoreductase (EC 7.1.1.2) subunit M	0.0032830638360019063
SSO:000000420__5-deoxy-glucuronate isomerase (EC 5.3.1.-)	0.003259617385068022
SSO:000004670__Malate dehydrogenase (EC 1.1.1.37)	0.0031288718484146793
SSO:000000308__3-isopropylmalate dehydrogenase (EC 1.1.1.85)	0.002834468171199685
SSO:000000115__2-C-methyl-D-erythritol 24-cyclodiphosphate synthase (EC 4.6.1.12)	0.002764517771940835
SSO:000031065__methionine synthase	0.002693430038463616
SSO:000042678__glucuronate isomerase (EC 5.3.1.12)	0.0026877835106891186
SSO:000044172__hydroxyisourate hydrolase (EC 3.5.2.17)	0.0026659605964814196
