feature	importance
SSO:000005105__N-acetylglucosamine-6-phosphate deacetylase (EC 3.5.1.25)	0.020995753123841193
SSO:000036545__L-rhamnose mutarotase (EC 5.1.3.32)	0.006127820654248487
SSO:000000420__5-deoxy-glucuronate isomerase (EC 5.3.1.-)	0.005868719217933413
SSO:000018761__L-glyceraldehyde 3-phosphate reductase	0.005789380159967543
SSO:000042917__5-dehydro-2-deoxygluconokinase (EC 2.7.1.92)	0.005671595489857778
SSO:000043098__myo-inosose-2 dehydratase (EC 4.2.1.44)	0.0052506870489410305
SSO:000044159__glycine C-acetyltransferase (EC 2.3.1.29)	0.004880113991181641
SSO:000007068__Ribokinase (EC 2.7.1.15)	0.004663927311643161
SSO:000012169__Chitinase (EC 3.2.1.14)	0.004383746310811973
SSO:000005278__Na+/H+ antiporter	0.004356124881836891
SSO:000029073__Xylose isomerase	0.004350958431727153
SSO:000029506__carbohydrate kinase	0.004315460342806117
SSO:000001024__Aquaporin Z	0.0042341473110699395
SSO:000042613__N-acetylglucosamine kinase (EC 2.7.1.59)	0.004133607817335981
SSO:000018792__L-threonine 3-dehydrogenase	0.004023785384109869
SSO:000043034__inositol 2-dehydrogenase (EC 1.1.1.18)	0.003735940279352689
SSO:000025241__Sugar kinase	0.0036540777138754244
SSO:000000381__4-hydroxyproline epimerase (EC 5.1.1.8)	0.003635471380928179
SSO:000003108__Gluconokinase (EC 2.7.1.12)	0.0033151084662921488
SSO:000001182__Beta-galactosidase (EC 3.2.1.23)	0.0032961488901139878
