feature	importance
SSO:000017206__Gluconate 5-dehydrogenase (EC 1.1.1.69)	0.01314963443480691
SSO:000016921__Fumarylacetoacetate hydrolase family protein	0.006372588721004329
SSO:000021890__Polysaccharide biosynthesis protein	0.006361171489904565
SSO:000000722__Acetylornithine deacetylase (EC 3.5.1.16)	0.006085763254222464
SSO:000029073__Xylose isomerase	0.005707696759044116
SSO:000005097__N-acetyl-gamma-glutamyl-phosphate reductase (EC 1.2.1.38)	0.005353750010323061
SSO:000018739__L-arabinose isomerase (EC 5.3.1.4)	0.005141953095638255
SSO:000000720__Acetylglutamate kinase (EC 2.7.2.8)	0.005052399311213892
SSO:000019343__Mannose-6-phosphate isomerase class I (EC 5.3.1.8)	0.0048163254327367256
SSO:000007623__Spermidine N1-acetyltransferase (EC 2.3.1.57)	0.004793587726673989
SSO:000044131__UDP-4-amino-4-deoxy-L-arabinose aminotransferase (EC 2.6.1.87)	0.0047287243434940155
SSO:000007094__Ribonuclease PH (EC 2.7.7.56)	0.004041081471555955
SSO:000042174__acetylornithine transaminase	0.004006220836689373
SSO:000013528__Exodeoxyribonuclease X	0.0038407781408310417
SSO:000000306__3-isopropylmalate dehydratase large subunit (EC 4.2.1.33)	0.0038362375682983083
SSO:000000308__3-isopropylmalate dehydrogenase (EC 1.1.1.85)	0.003561965630954281
SSO:000043945__histidinol-phosphate transaminase (EC 2.6.1.9)	0.0035195014155325654
SSO:000001878__Cytochrome O ubiquinol oxidase subunit II (EC 1.10.3.-)	0.003492186256813483
SSO:000004083__Ketol-acid reductoisomerase (EC 1.1.1.86)	0.003404697880379779
SSO:000006028__Phosphopentomutase (EC 5.4.2.7)	0.0032212600221197805
