feature	importance
SSO:000008065__Thymidine kinase (EC 2.7.1.21)	0.005583791923507036
SSO:000000286__3-hydroxyacyl-CoA dehydrogenase (EC 1.1.1.35)	0.005451839192118749
SSO:000042942__threo-3-hydroxy-L-aspartate ammonia-lyase (EC 4.3.1.16)	0.00512397259344994
SSO:000043056__arylformamidase (EC 3.5.1.9)	0.00494622985283511
SSO:000012016__Cd(II)/Pb(II)-responsive transcriptional regulator	0.0045389926244501656
SSO:000016918__Fumarylacetoacetase (EC 3.7.1.2)	0.004388375010473642
SSO:000043848__aspartate dehydrogenase (EC 1.4.1.21)	0.004305744142427305
SSO:000042832__succinyldiaminopimelate transaminase (EC 2.6.1.17)	0.00423241274774712
SSO:000000028__12-phenylacetyl-CoA epoxidase subunit B (EC 1.14.13.149)	0.003952641053549976
SSO:000025479__Tartrate dehydrogenase (EC 1.1.1.93)	0.003938398547750206
SSO:000025615__Thiolase	0.003901610073925345
SSO:000010806__Arginine/lysine/ornithine decarboxylase	0.0038775404518657164
SSO:000019560__Methionine biosynthesis protein MetW	0.0038504036234503817
SSO:000039426__Taurine ABC transporter substrate-binding protein	0.0038440160883711646
SSO:000021678__Phospholipase D family protein	0.0036078020255829054
SSO:000000027__12-phenylacetyl-CoA epoxidase subunit A (EC 1.14.13.149)	0.003551740841347947
SSO:000003484__Homoserine O-succinyltransferase (EC 2.3.1.46)	0.0035386857809762947
SSO:000029597__class II aldolase/adducin family protein	0.003516056410231186
SSO:000002935__Fructose-bisphosphate aldolase class II (EC 4.1.2.13)	0.0034772320957799545
SSO:000024194__Rieske (2Fe-2S) domain-containing protein	0.0032625386075280944
