feature	importance
SSO:000025721__Toxic anion resistance protein	0.014089741052857182
SSO:000010533__Amidase	0.01356234443704152
SSO:000000035__14-dihydroxy-2-naphthoate polyprenyltransferase (EC 2.5.1.74)	0.012387748973310393
SSO:000000925__Alpha-mannosidase (EC 3.2.1.24)	0.011628461529299495
SSO:000006841__Pyruvate carboxylase (EC 6.4.1.1)	0.010829675290499031
SSO:000016827__Flavocytochrome c	0.010390099287654466
SSO:000010266__Acyl-CoA synthetase	0.009250385294267693
SSO:000001193__Beta-phosphoglucomutase (EC 5.4.2.6)	0.00872067803120789
SSO:000033225__sigma-54-dependent transcriptional regulator	0.008086033400904137
SSO:000009089__dTDP-4-dehydrorhamnose 35-epimerase (EC 5.1.3.13)	0.006265366646600389
SSO:000029108__YaiI/YqxD family protein	0.00550759085517711
SSO:000043918__DNA-formamidopyrimidine glycosylase (EC 3.2.2.23)	0.005366934633168991
SSO:000000219__2-succinyl-6-hydroxy-24-cyclohexadiene-1-carboxylate synthase (EC 4.2.99.20)	0.005287141764924835
SSO:000002702__Ferredoxin (EC 1.18.1.3 )	0.0050500214270256605
SSO:000021467__Peroxiredoxin	0.004990801267436872
SSO:000029506__carbohydrate kinase	0.004920095451499024
SSO:000029953__formate/nitrite transporter family protein	0.004875461623128514
SSO:000043940__dihydrolipoyllysine-residue acetyltransferase (EC 2.3.1.12)	0.004843335918666722
SSO:000025538__Tetracycline resistance MFS efflux pump 	0.004599110288029968
SSO:000035652__Peptide-methionine (S)-S-oxide reductase MsrA (EC 1.8.4.11)	0.004597639797869258
