feature	importance
SSO:000008881__Urocanate hydratase (EC 4.2.1.49)	0.0048529427167822384
SSO:000044308__adenosylmethionine---8-amino-7-oxononanoate transaminase (EC 2.6.1.62)	0.0047474903640101545
SSO:000008065__Thymidine kinase (EC 2.7.1.21)	0.004720558584127132
SSO:000003696__Imidazolonepropionase (EC 3.5.2.7)	0.004245699247710287
SSO:000036507__L-glutamate gamma-semialdehyde dehydrogenase (EC 1.2.1.88)	0.003692468624430254
SSO:000018792__L-threonine 3-dehydrogenase	0.0030790165219695674
SSO:000033511__thiolase family protein	0.0029659358688507074
SSO:000002230__DegV family protein	0.00294326981648462
SSO:000019936__MmgE/PrpD family protein	0.0029008738397200765
SSO:000017864__Homogentisate 12-dioxygenase (EC 1.13.11.5)	0.0028743622447072767
SSO:000003439__Histidine ammonia-lyase (EC 4.3.1.3)	0.002817223054961216
SSO:000006362__Proline dehydrogenase (EC 1.5.5.2)	0.0027291013788838907
SSO:000000464__8-amino-7-oxononanoate synthase (EC 2.3.1.47)	0.002668323999455575
SSO:000000380__4-hydroxyphenylpyruvate dioxygenase (EC 1.13.11.27)	0.0026670940912750774
SSO:000000686__Acetolactate synthase small subunit (EC 2.2.1.6)	0.002626375576281416
SSO:000006040__Phosphoribosylanthranilate isomerase (EC 5.3.1.24)	0.00236680395143856
SSO:000024791__Site-specific DNA-methyltransferase	0.0023536178046965357
SSO:000044159__glycine C-acetyltransferase (EC 2.3.1.29)	0.002326447670591911
SSO:000043561__dethiobiotin synthase (EC 6.3.3.3)	0.002242542786768012
SSO:000043061__asparagine---tRNA ligase (EC 6.1.1.22)	0.0021396106374912873
