feature	importance
SSO:000004170__L-ribulose-5-phosphate 4-epimerase (EC 5.1.3.4)	0.006187798727281711
SSO:000000451__6-phospho-beta-glucosidase (EC 3.2.1.86)	0.004245146046972913
SSO:000003525__Hydroxymethylglutaryl-CoA lyase (EC 4.1.3.4)	0.0040807235078925575
SSO:000000563__ATP-dependent Clp protease ATP-binding subunit ClpA	0.003885613573920226
SSO:000018739__L-arabinose isomerase (EC 5.3.1.4)	0.003835351692800424
SSO:000007156__Ribulokinase (EC 2.7.1.16)	0.003820111788487117
SSO:000012978__DUF1934 domain-containing protein	0.0036668901834848305
SSO:000008065__Thymidine kinase (EC 2.7.1.21)	0.0034895806264395855
SSO:000000925__Alpha-mannosidase (EC 3.2.1.24)	0.0033074656146896224
SSO:000002538__Enoyl-CoA hydratase (EC 4.2.1.17)	0.003185483116068701
SSO:000042678__glucuronate isomerase (EC 5.3.1.12)	0.0029914147494874256
SSO:000007780__Succinate dehydrogenase hydrophobic membrane anchor protein	0.0029737117914675386
SSO:000004883__Methylisocitrate lyase (EC 4.1.3.30)	0.0029384166749256055
SSO:000006904__RNA polymerase sigma factor RpoH	0.0026636805284442396
SSO:000000338__3-oxoadipyl-CoA thiolase (EC 2.3.1.174)	0.0026336236269681682
SSO:000012809__DNA polymerase III subunit chi	0.0026300986579964624
SSO:000019083__Lycopene cyclase	0.0026222406949375204
SSO:000010516__Endo-14-beta-xylanase (EC 3.2.1.8)	0.0026070117210338956
SSO:000043994__3-deoxy-8-phosphooctulonate synthase (EC 2.5.1.55)	0.0025566819180998903
SSO:000004390__Lactoylglutathione lyase (EC 4.4.1.5)	0.0025375197297392784
