feature	importance
SSO:000000195__2-methylcitrate synthase (EC 2.3.3.5)	0.010479151142409618
SSO:000017664__Heavy metal sensor histidine kinase	0.0077253155033408065
SSO:000008463__Two-component system response regulator OmpR	0.007461026355317865
SSO:000035962__Formate-dependent phosphoribosylglycinamide formyltransferase	0.007255257613968591
SSO:000043392__chorismate lyase (EC 4.1.3.40)	0.006811415398232365
SSO:000012016__Cd(II)/Pb(II)-responsive transcriptional regulator	0.006660861669190563
SSO:000009443__uracil-xanthine permease	0.005766696667428374
SSO:000035324__D-alanyl-D-alanine endopeptidase	0.005629287282042061
SSO:000029105__YaeQ family protein	0.005496419038058876
SSO:000018959__Lipid A export permease/ATP-binding protein MsbA	0.005495773636567959
SSO:000037110__NADPH dependent aldo-keto reductase 	0.0054074165700776335
SSO:000013151__Dioxygenase	0.0049730831417157855
SSO:000042832__succinyldiaminopimelate transaminase (EC 2.6.1.17)	0.004940351427961453
SSO:000012386__Coniferyl aldehyde dehydrogenase (EC 1.2.1.68)	0.004794387141720141
SSO:000019560__Methionine biosynthesis protein MetW	0.004595342658486192
SSO:000008065__Thymidine kinase (EC 2.7.1.21)	0.004429622378254635
SSO:000037190__Nif3-like dinuclear metal center hexameric protein	0.004146770968843702
SSO:000039426__Taurine ABC transporter substrate-binding protein	0.004114059823268906
SSO:000021837__Polyamine ABC transporter ATP-binding protein	0.004045345155948897
SSO:000002791__Flagellar assembly protein FliH	0.004019003650611359
