feature	importance
SSO:000008391__Tryptophan 23-dioxygenase (EC 1.13.11.11)	0.008363002087077114
SSO:000003696__Imidazolonepropionase (EC 3.5.2.7)	0.007504986450728365
SSO:000008881__Urocanate hydratase (EC 4.2.1.49)	0.006443846094378919
SSO:000044159__glycine C-acetyltransferase (EC 2.3.1.29)	0.006218249886710505
SSO:000003439__Histidine ammonia-lyase (EC 4.3.1.3)	0.0053734564475565755
SSO:000008877__Uridine kinase (EC 2.7.1.48)	0.004870017791764929
SSO:000008065__Thymidine kinase (EC 2.7.1.21)	0.004770044615767215
SSO:000004673__Malate synthase G (EC 2.3.3.9)	0.00457664858456086
SSO:000004091__Kynureninase (EC 3.7.1.3)	0.004432213353817845
SSO:000012169__Chitinase (EC 3.2.1.14)	0.004223158465905753
SSO:000029348__amidinotransferase	0.004083147732950149
SSO:000000826__Adenylylsulfate kinase (EC 2.7.1.25)	0.0036597989824800276
SSO:000018792__L-threonine 3-dehydrogenase	0.003638111835305697
SSO:000029508__carbohydrate-binding protein	0.003341141996241206
SSO:000005114__N-acetylmuramic acid 6-phosphate etherase (EC 4.2.-.-)	0.0032510705690654155
SSO:000003525__Hydroxymethylglutaryl-CoA lyase (EC 4.1.3.4)	0.0032188409747408732
SSO:000000536__AMP nucleosidase (EC 3.2.2.4)	0.0031787441880713994
SSO:000017864__Homogentisate 12-dioxygenase (EC 1.13.11.5)	0.003150753859579363
SSO:000029178__Zinc carboxypeptidase	0.002926887543198654
SSO:000036507__L-glutamate gamma-semialdehyde dehydrogenase (EC 1.2.1.88)	0.0029169671435120724
