feature	importance
SSO:000020611__Non-ribosomal peptide synthetase	0.006623239973605561
SSO:000008065__Thymidine kinase (EC 2.7.1.21)	0.005541347585011152
SSO:000027090__beta-glucosidase (EC 3.2.1.21)	0.004334339395381151
SSO:000009528__2-dehydro-3-deoxygalactonokinase (EC 2.7.1.58)	0.004092951823600686
SSO:000005939__Phosphatidylglycerophosphatase A (EC 3.1.3.27)	0.0038695905788486335
SSO:000001198__Betaine aldehyde dehydrogenase (EC 1.2.1.8)	0.0038092123064326277
SSO:000042917__5-dehydro-2-deoxygluconokinase (EC 2.7.1.92)	0.003754427429785813
SSO:000025246__Sugar phosphate isomerase/epimerase	0.0037372964868710003
SSO:000000142__2-dehydro-3-deoxy-6-phosphogalactonate aldolase (EC 4.1.2.21)	0.003633937427942448
SSO:000001856__Cysteine desulfurase (EC 2.8.1.7)	0.0035920187708031667
SSO:000001182__Beta-galactosidase (EC 3.2.1.23)	0.0035439455812216825
SSO:000042613__N-acetylglucosamine kinase (EC 2.7.1.59)	0.003456934124609402
SSO:000000420__5-deoxy-glucuronate isomerase (EC 5.3.1.-)	0.003447632563981261
SSO:000013265__EAL domain containing protein	0.003417508794167908
SSO:000004170__L-ribulose-5-phosphate 4-epimerase (EC 5.1.3.4)	0.003261642480344013
SSO:000036545__L-rhamnose mutarotase (EC 5.1.3.32)	0.0030958012333200274
SSO:000013106__Diguanylate cyclase	0.0030597036464214537
SSO:000018566__Intradiol ring-cleavage dioxygenase	0.0029525842099893287
SSO:000002805__Flagellar biosynthesis protein FliQ	0.002916842799407604
SSO:000017356__Glycogen synthase (EC 2.4.1.11)	0.00273334781795037
