feature	importance
SSO:000012628__Cytochrome c oxidase subunit I	0.007006951973240018
SSO:000043905__4a-hydroxytetrahydrobiopterin dehydratase (EC 4.2.1.96)	0.006925810667775965
SSO:000000701__Acetyl-CoA C-acyltransferase (EC 2.3.1.16)	0.006845451610167713
SSO:000002538__Enoyl-CoA hydratase (EC 4.2.1.17)	0.005831674566746017
SSO:000003525__Hydroxymethylglutaryl-CoA lyase (EC 4.1.3.4)	0.005542874880602437
SSO:000010682__Anti-sigma factor	0.005355054612456637
SSO:000008391__Tryptophan 23-dioxygenase (EC 1.13.11.11)	0.004864483045563281
SSO:000000670__Acetate kinase (EC 2.7.2.1)	0.004753763123367398
SSO:000029482__c-type cytochrome	0.0046441710257468195
SSO:000004091__Kynureninase (EC 3.7.1.3)	0.004516578674378282
SSO:000044352__formate C-acetyltransferase (EC 2.3.1.54)	0.00441586899681958
SSO:000029372__anaerobic ribonucleoside-triphosphate reductase activating protein	0.004412218721346508
SSO:000009028__Protein-PII uridylyltransferase (EC 2.7.7.59)	0.0038920894980209605
SSO:000000380__4-hydroxyphenylpyruvate dioxygenase (EC 1.13.11.27)	0.0037981495729496866
SSO:000004152__L-histidine N(alpha)-methyltransferase (EC 2.1.1.44)	0.0033985553989387125
SSO:000005968__Phosphogluconate dehydratase (EC 4.2.1.12)	0.0031314841225788693
SSO:000017864__Homogentisate 12-dioxygenase (EC 1.13.11.5)	0.0030679755206591336
SSO:000012589__Cytochrome P-450	0.0030635418109571807
SSO:000004170__L-ribulose-5-phosphate 4-epimerase (EC 5.1.3.4)	0.002843827808241371
SSO:000002299__Dihydroneopterin aldolase (EC 4.1.2.25)	0.0027834046812217936
