feature	importance
SSO:000002919__Formyltetrahydrofolate deformylase (EC 3.5.1.10)	0.007805326080564223
SSO:000006525__Protein translocase subunit SecF	0.00776858143057873
SSO:000007094__Ribonuclease PH (EC 2.7.7.56)	0.006862667186297533
SSO:000010953__BCCT family transporter	0.0067081617615654026
SSO:000007779__Succinate dehydrogenase flavoprotein subunit (EC 1.3.99.1)	0.006344008670030935
SSO:000024550__Serine O-acetyltransferase	0.0057302467228024815
SSO:000019235__MOSC domain containing protein	0.004819718913597385
SSO:000006304__Prephenate dehydratase (EC 4.2.1.51)	0.004641994851798924
SSO:000043047__thiamine-phosphate kinase (EC 2.7.4.16)	0.004328923284500068
SSO:000006523__Protein translocase subunit SecD	0.0042470116013289295
SSO:000029028__Xaa-Pro dipeptidyl-peptidase	0.004205375534897663
SSO:000000035__14-dihydroxy-2-naphthoate polyprenyltransferase (EC 2.5.1.74)	0.004102986943296001
SSO:000042917__5-dehydro-2-deoxygluconokinase (EC 2.7.1.92)	0.00400924276306381
SSO:000010813__Leucyl aminopeptidase (EC 3.4.11.10)	0.003925463575325617
SSO:000004504__Lipoyl synthase (EC 2.8.1.8)	0.0038258853465982833
SSO:000008887__Uroporphyrinogen-III synthase (EC 4.2.1.75)	0.003613214282305163
SSO:000004670__Malate dehydrogenase (EC 1.1.1.37)	0.003522001917859366
SSO:000005425__Nucleoside diphosphate kinase (EC 2.7.4.6)	0.003490010798649406
SSO:000010610__Aminopeptidase N	0.0034107045348545357
SSO:000006161__Polyribonucleotide nucleotidyltransferase (EC 2.7.7.8)	0.0033215315251469875
