feature	importance
SSO:000005994__Phosphomevalonate kinase (EC 2.7.4.2)	0.008156234949632333
SSO:000004907__Mevalonate kinase (EC 2.7.1.36)	0.007384606992095407
SSO:000004128__L-aspartate oxidase (EC 1.4.3.16)	0.007092299633233205
SSO:000000045__1-deoxy-D-xylulose 5-phosphate reductoisomerase (EC 1.1.1.267)	0.0065776293259810084
SSO:000003528__Hydroxymethylglutaryl-CoA synthase (EC 2.3.3.10)	0.005623084575908864
SSO:000043018__acetolactate decarboxylase (EC 4.1.1.5)	0.0055929229227425
SSO:000000315__3-methyl-2-oxobutanoate hydroxymethyltransferase (EC 2.1.2.11)	0.005076132797370987
SSO:000002350__Diphosphomevalonate decarboxylase (EC 4.1.1.33)	0.0050313984706366055
SSO:000001091__Aspartate 1-decarboxylase (EC 4.1.1.11)	0.004593661392624475
SSO:000004710__Mannose-1-phosphate guanylyltransferase (EC 2.7.7.13)	0.004320480296349204
SSO:000029148__YibE/F family protein	0.00419990474250911
SSO:000000364__4-hydroxy-3-methylbut-2-enyl diphosphate reductase (EC 1.17.1.2)	0.00417433556671509
SSO:000001419__Carbonic anhydrase (EC 4.2.1.1)	0.004170094326208657
SSO:000000686__Acetolactate synthase small subunit (EC 2.2.1.6)	0.004092877925176501
SSO:000003103__Gluconate permease	0.003927268007233627
SSO:000006853__Pyruvate oxidase (EC 1.2.3.3)	0.00384508420661918
SSO:000013154__Dipeptidase	0.003806321643759694
SSO:000021723__Phosphotransferase	0.0037975430472093645
SSO:000000917__Alpha-amylase (EC 3.2.1.1)	0.003789827880115899
SSO:000010090__ATPase	0.0037722677671259515
