feature	importance
SSO:000026177__Trehalose-6-phosphate synthase	0.00987875435765538
SSO:000029372__anaerobic ribonucleoside-triphosphate reductase activating protein	0.0072763579101233385
SSO:000003133__Glucosyl-3-phosphoglycerate synthase (EC 2.4.1.266)	0.007161109658446453
SSO:000043812__N-acetyl-1-D-myo-inositol-2-amino-2-deoxy-alpha-D-glucopyranoside deacetylase (EC 3.5.1.103)	0.005138920391515284
SSO:000001635__Cobalt-precorrin-6A reductase (EC 1.3.1.54)	0.005130769037245357
SSO:000019203__METHYL-ACCEPTING CHEMOTAXIS PROTEIN	0.004448815465544457
SSO:000010266__Acyl-CoA synthetase	0.00440566161884051
SSO:000023911__RecB family exonuclease	0.0043778223170644615
SSO:000013242__DoxX family protein	0.004376591210008991
SSO:000012979__DUF2017 domain-containing protein	0.004317056877905165
SSO:000025241__Sugar kinase	0.004303219734183283
SSO:000006305__Prephenate dehydrogenase (EC 1.3.1.12)	0.0038462945903918553
SSO:000002814__Flagellar hook-basal body complex protein FliE	0.0037639987981266713
SSO:000025597__Thioesterase family protein	0.003629367436769078
SSO:000002815__Flagellar hook-length control protein FliK	0.0035190024727519485
SSO:000001182__Beta-galactosidase (EC 3.2.1.23)	0.0033646338042570157
SSO:000024959__Sodium:solute symporter family protein	0.0033047723749070595
SSO:000016682__Ferredoxin reductase	0.003291154760426011
SSO:000000735__Aconitate hydratase (EC 4.2.1.3)	0.003273487581247865
SSO:000016805__Flagellar motor protein MotB	0.0030864077845096437
