feature	importance
SSO:000010553__Amidohydrolase	0.009785919205284032
SSO:000020331__NADH-dependent flavin oxidoreductase	0.008892959819580997
SSO:000042678__glucuronate isomerase (EC 5.3.1.12)	0.00750259930925429
SSO:000001185__Beta-glucuronidase (EC 3.2.1.31)	0.006665658158363919
SSO:000010953__BCCT family transporter	0.005447105830044393
SSO:000003247__Glycerol dehydrogenase (EC 1.1.1.6)	0.005086673262091134
SSO:000004709__Mannonate dehydratase (EC 4.2.1.8)	0.005053999184917111
SSO:000020210__N-acetylneuraminate synthase	0.0050430274194956754
SSO:000020957__Oxidoreductase	0.0047175931596164615
SSO:000016736__Fibronectin/fibrinogen-binding protein	0.004538471419931313
SSO:000010533__Amidase	0.004468025439721962
SSO:000001940__Cytochrome d ubiquinol oxidase subunit II (EC 1.10.3.-)	0.004354313655185918
SSO:000002097__DNA recombination protein RmuC	0.00397315165500573
SSO:000003485__Homoserine dehydrogenase (EC 1.1.1.3)	0.0038872319559007185
SSO:000022348__Prenyltransferase	0.0037085219105375366
SSO:000003212__Glutathione S-transferase family protein	0.0036818184248118865
SSO:000000847__Alanine dehydrogenase (EC 1.4.1.1)	0.0035470969644072845
SSO:000007796__Sucrose-6-phosphate hydrolase (EC 3.2.1.26)	0.0035416693894095887
SSO:000035652__Peptide-methionine (S)-S-oxide reductase MsrA (EC 1.8.4.11)	0.003433659600101733
SSO:000000584__ATP-dependent DNA helicase recQ (EC 3.6.1.- )	0.0033628637317897545
