feature	importance
SSO:000001182__Beta-galactosidase (EC 3.2.1.23)	0.010261846350153574
SSO:000000919__Alpha-galactosidase (EC 3.2.1.22)	0.009343187718065001
SSO:000000450__6-phospho-beta-galactosidase (EC 3.2.1.85)	0.008960711826087686
SSO:000003006__Galactokinase (EC 2.7.1.6)	0.008609810743780609
SSO:000000913__Alpha-L-fucosidase (EC 3.2.1.51)	0.00550281365636401
SSO:000000925__Alpha-mannosidase (EC 3.2.1.24)	0.0053073166623973924
SSO:000013628__FAD:protein FMN transferase (EC 2.7.1.180)	0.004726424439014341
SSO:000029073__Xylose isomerase	0.004422270483220978
SSO:000042727__UDP-glucose---hexose-1-phosphate uridylyltransferase (EC 2.7.7.12)	0.0036393838271465443
SSO:000025471__Tagatose-bisphosphate aldolase (EC 4.1.2.40)	0.0032661210132586185
SSO:000033209__sialate O-acetylesterase	0.0030824698347465475
SSO:000000917__Alpha-amylase (EC 3.2.1.1)	0.003032963324132775
SSO:000004170__L-ribulose-5-phosphate 4-epimerase (EC 5.1.3.4)	0.002894822209370526
SSO:000024110__Rhamnulokinase (EC 2.7.1.5)	0.0028480438284914367
SSO:000000286__3-hydroxyacyl-CoA dehydrogenase (EC 1.1.1.35)	0.002838279152228553
SSO:000009944__ACT domain-containing protein	0.0027275245414128987
SSO:000017381__Glycosyl hydrolase	0.0025756685694229373
SSO:000018739__L-arabinose isomerase (EC 5.3.1.4)	0.0025400227167687167
SSO:000016591__FMN-binding protein	0.002455637133105965
SSO:000025220__Sucrose phosphorylase (EC 2.4.1.7)	0.002374114094070896
