feature	importance
SSO:000002538__Enoyl-CoA hydratase (EC 4.2.1.17)	0.008175225935181019
SSO:000004390__Lactoylglutathione lyase (EC 4.4.1.5)	0.005813935889803413
SSO:000000298__3-hydroxyisobutyrate dehydrogenase (EC 1.1.1.31)	0.005651391560838338
SSO:000000919__Alpha-galactosidase (EC 3.2.1.22)	0.005244498453357354
SSO:000042222__Arginyltransferase( EC:2.3.2.8 )	0.004888291401594065
SSO:000000563__ATP-dependent Clp protease ATP-binding subunit ClpA	0.004025414537930462
SSO:000017841__Histone deacetylase family protein	0.003786944541066547
SSO:000004170__L-ribulose-5-phosphate 4-epimerase (EC 5.1.3.4)	0.0034241204446604587
SSO:000039286__Sugar O-acetyltransferase	0.0031462386242735794
SSO:000000272__3-carboxy-ciscis-muconate cycloisomerase (EC 5.5.1.2)	0.003124335898730492
SSO:000003006__Galactokinase (EC 2.7.1.6)	0.0030225635632989767
SSO:000008678__Ubiquinol-cytochrome C reductase iron-sulfur subunit (EC 1.10.2.2)	0.0030115736818827382
SSO:000028900__VacJ family lipoprotein	0.0029657468485375683
SSO:000042934__methylcrotonoyl-CoA carboxylase (EC 6.4.1.4)	0.002940148890119016
SSO:000007801__Sulfatase (EC 3.1.6.-)	0.0029259077683834248
SSO:000007096__Ribonuclease Y	0.002925189806077597
SSO:000004709__Mannonate dehydratase (EC 4.2.1.8)	0.002799872294896686
SSO:000003525__Hydroxymethylglutaryl-CoA lyase (EC 4.1.3.4)	0.0027643886193756354
SSO:000005114__N-acetylmuramic acid 6-phosphate etherase (EC 4.2.-.-)	0.002621760633896902
SSO:000003212__Glutathione S-transferase family protein	0.0026199016760569418
