feature	importance
SSO:000029372__anaerobic ribonucleoside-triphosphate reductase activating protein	0.011349201828876455
SSO:000012628__Cytochrome c oxidase subunit I	0.00759381387587723
SSO:000026177__Trehalose-6-phosphate synthase	0.006156959168351284
SSO:000044352__formate C-acetyltransferase (EC 2.3.1.54)	0.006015988121675001
SSO:000029482__c-type cytochrome	0.005867571931062953
SSO:000029759__coproporphyrinogen III oxidase	0.004733848582611842
SSO:000013422__Enoyl-CoA hydratase/isomerase family protein	0.004552868327576558
SSO:000043061__asparagine---tRNA ligase (EC 6.1.1.22)	0.00437860972340865
SSO:000000543__ATP phosphoribosyltransferase regulatory subunit (EC 2.4.2.17)	0.0038854181319028635
SSO:000010245__Acyl-CoA dehydrogenase	0.0038449129303864886
SSO:000043162__1-(5-phosphoribosyl)-5-(5-phosphoribosylamino)methylideneaminoimidazole-4-carboxamide isomerase (EC 5.3.1.16)	0.0037957171487311807
SSO:000003133__Glucosyl-3-phosphoglycerate synthase (EC 2.4.1.266)	0.0037263399486195383
SSO:000020985__Oxygen-independent coproporphyrinogen III oxidase	0.0035123411357909436
SSO:000006827__Pyrimidine-nucleoside phosphorylase (EC 2.4.2.2)	0.0034667468466116204
SSO:000043727__thiamine diphosphokinase (EC 2.7.6.2)	0.003431332240054848
SSO:000001635__Cobalt-precorrin-6A reductase (EC 1.3.1.54)	0.003367207358456931
SSO:000000457__6-phosphogluconolactonase (EC 3.1.1.31)	0.0032129939679162744
SSO:000009370__tRNA(1)(Val) (adenine(37)-N(6))-methyltransferase (EC 2.1.1.223)	0.0032035105904548358
SSO:000001182__Beta-galactosidase (EC 3.2.1.23)	0.0031862790911661282
SSO:000033686__trehalose-phosphatase	0.003135936159598172
