feature	importance
SSO:000004108__L-2-hydroxyglutarate oxidase (EC 1.1.3.15)	0.006187499519478704
SSO:000001635__Cobalt-precorrin-6A reductase (EC 1.3.1.54)	0.005728391242113105
SSO:000043973__adenosylcobinamide-GDP ribazoletransferase (EC 2.7.8.26)	0.005072969073530652
SSO:000009524__2-aminoethylphosphonate ABC transporter substrate-binding protein	0.005061248765716841
SSO:000001640__Cobyric acid synthase (EC 6.3.5.10)	0.004622463260889605
SSO:000042404__cobyrinate ac-diamide synthase (EC 6.3.5.11)	0.004247798311446268
SSO:000005317__Nicotinate-nucleotide--dimethylbenzimidazole phosphoribosyltransferase (EC 2.4.2.21)	0.00424515621601526
SSO:000043554__adenosylcobalamin/alpha-ribazole phosphatase (EC 3.1.3.73)	0.004068014678491066
SSO:000043198__threonine-phosphate decarboxylase (EC 4.1.1.81)	0.0032217549507032915
SSO:000001864__Cysteine synthase (EC 2.5.1.47)	0.003142001373508767
SSO:000011127__Bifunctional DNA primase/polymerase	0.0030688568235310324
SSO:000033225__sigma-54-dependent transcriptional regulator	0.002818983249970384
SSO:000002577__Ethanolamine utilization protein EutJ	0.002691609957211501
SSO:000028997__WGR domain-containing protein	0.0026895090110961115
SSO:000005814__Peptidyl-tRNA hydrolase (EC 3.1.1.29)	0.002631313718977876
SSO:000034428__Acetoacetate decarboxylase family protein	0.0023314126290997677
SSO:000018210__IS5 family transposase	0.002288337935559198
SSO:000037089__NADH-quinone oxidoreductase (EC 7.1.1.2) subunit H	0.0021991263803275134
SSO:000001046__Arginine deiminase (EC 3.5.3.6)	0.0021672256278508725
SSO:000024558__Serine protease	0.0021610839981609942
