feature	importance
SSO:000042813__amino-acid N-acetyltransferase (EC 2.3.1.1)	0.006256441113532751
SSO:000008463__Two-component system response regulator OmpR	0.005373532651670427
SSO:000002003__D-amino acid dehydrogenase (EC 1.4.99.1)	0.004521801564219486
SSO:000037110__NADPH dependent aldo-keto reductase 	0.004073531903026762
SSO:000003445__Histidine utilization repressor	0.0038702225361480574
SSO:000012016__Cd(II)/Pb(II)-responsive transcriptional regulator	0.00383316652398142
SSO:000002791__Flagellar assembly protein FliH	0.0037973030327865948
SSO:000043392__chorismate lyase (EC 4.1.3.40)	0.0037475610599100057
SSO:000011524__CDP-6-deoxy-delta-34-glucoseen reductase	0.0037417880696530605
SSO:000021084__PHP domain-containing protein	0.0035876087352099723
SSO:000036741__Malate dehydrogenase (quinone) (EC 1.1.5.4)	0.0035495176602708214
SSO:000042832__succinyldiaminopimelate transaminase (EC 2.6.1.17)	0.003415823232977598
SSO:000035324__D-alanyl-D-alanine endopeptidase	0.003306992352552492
SSO:000009637__3-oxoadipate enol-lactonase	0.0032560987294109243
SSO:000003160__Glutamate--cysteine ligase (EC 6.3.2.2)	0.003229465085909475
SSO:000004390__Lactoylglutathione lyase (EC 4.4.1.5)	0.003197126975925858
SSO:000001968__Cytosine permease	0.0031826989530406614
SSO:000001479__Cell division topological specificity factor MinE	0.0031458070454514126
SSO:000002935__Fructose-bisphosphate aldolase class II (EC 4.1.2.13)	0.0030134924164279173
SSO:000002797__Flagellar basal-body rod protein FlgF	0.002916536237824372
