feature	importance
SSO:000008385__Triphosphoribosyl-dephospho-CoA synthase (EC 2.4.2.52)	0.009879721621387972
SSO:000000159__2-hydroxy-3-oxopropionate reductase (EC 1.1.1.60)	0.009519877139666117
SSO:000035123__Class A beta-lactamase (EC 3.5.2.6)	0.006377160355267171
SSO:000018973__Lipopolysaccharide biosynthesis protein	0.006369886316957338
SSO:000010350__AhpC/TSA family protein	0.005297949070053076
SSO:000017510__HAD family hydrolase	0.004482391638497111
SSO:000018454__Inositol monophosphatase	0.0041044549391818985
SSO:000023737__PyrBI operon leader peptide	0.0036249077904018548
SSO:000009621__3-hydroxybutyrate dehydrogenase (EC 1.1.1.30)	0.003541958588240491
SSO:000042143__Lipopolysaccharide heptosyltransferase I	0.003411484755010983
SSO:000018447__Inorganic phosphate transporter	0.0033137269326093703
SSO:000012992__DUF350 domain-containing protein	0.0032581765060023167
SSO:000008131__Trans-aconitate 2-methyltransferase (EC 2.1.1.144)	0.0032128636107663197
SSO:000025473__Tail fiber protein	0.003163686673812566
SSO:000012629__Cytochrome c peroxidase (EC 1.11.1.5)	0.0030330263439811117
SSO:000005895__Phenylacetic acid degradation protein PaaY	0.0030017461664996726
SSO:000042174__acetylornithine transaminase	0.002829843336306625
SSO:000042815__indolepyruvate decarboxylase (EC 4.1.1.74)	0.002740384979569529
SSO:000024959__Sodium:solute symporter family protein	0.0027131715917519394
SSO:000029830__diguanylate phosphodiesterase	0.0026827734886802758
