feature	importance
SSO:000000920__Alpha-glucosidase (EC 3.2.1.20)	0.009547585896884784
SSO:000008065__Thymidine kinase (EC 2.7.1.21)	0.008559594703655945
SSO:000000917__Alpha-amylase (EC 3.2.1.1)	0.007206705770895711
SSO:000005114__N-acetylmuramic acid 6-phosphate etherase (EC 4.2.-.-)	0.006752636874096631
SSO:000027090__beta-glucosidase (EC 3.2.1.21)	0.004614602594133216
SSO:000003006__Galactokinase (EC 2.7.1.6)	0.004342120575588103
SSO:000036545__L-rhamnose mutarotase (EC 5.1.3.32)	0.004286473412066163
SSO:000005105__N-acetylglucosamine-6-phosphate deacetylase (EC 3.5.1.25)	0.004191580376792649
SSO:000029073__Xylose isomerase	0.0041366652746736895
SSO:000019560__Methionine biosynthesis protein MetW	0.004132591890462842
SSO:000042832__succinyldiaminopimelate transaminase (EC 2.6.1.17)	0.0038620953484828032
SSO:000039286__Sugar O-acetyltransferase	0.003617626818128221
SSO:000003124__Glucose-1-phosphate adenylyltransferase (EC 2.7.7.27)	0.0034726556521831476
SSO:000000326__3-oxoacyl-ACP reductase (EC 1.1.1.100)	0.003062189164862908
SSO:000042678__glucuronate isomerase (EC 5.3.1.12)	0.002948076147326808
SSO:000004709__Mannonate dehydratase (EC 4.2.1.8)	0.0028834738688803788
SSO:000010359__Alanine transaminase (EC 2.6.1.2)	0.002831391840892496
SSO:000000543__ATP phosphoribosyltransferase regulatory subunit (EC 2.4.2.17)	0.002708488434695368
SSO:000042613__N-acetylglucosamine kinase (EC 2.7.1.59)	0.0026184219174820835
SSO:000018959__Lipid A export permease/ATP-binding protein MsbA	0.0025956353285937293
