feature	importance
SSO:000000920__Alpha-glucosidase (EC 3.2.1.20)	0.007789122488326931
SSO:000000919__Alpha-galactosidase (EC 3.2.1.22)	0.007660074680154426
SSO:000003006__Galactokinase (EC 2.7.1.6)	0.0068450184653665175
SSO:000000917__Alpha-amylase (EC 3.2.1.1)	0.006051259130641411
SSO:000042727__UDP-glucose---hexose-1-phosphate uridylyltransferase (EC 2.7.7.12)	0.005646798316437958
SSO:000001182__Beta-galactosidase (EC 3.2.1.23)	0.005178280840427928
SSO:000019343__Mannose-6-phosphate isomerase class I (EC 5.3.1.8)	0.004472802233740958
SSO:000008877__Uridine kinase (EC 2.7.1.48)	0.004345871867338057
SSO:000008065__Thymidine kinase (EC 2.7.1.21)	0.0037281312937308053
SSO:000007113__Ribose-phosphate pyrophosphokinase (EC 2.7.6.1)	0.003593991739273404
SSO:000044352__formate C-acetyltransferase (EC 2.3.1.54)	0.003375161817128212
SSO:000007212__SAM-dependent methyltransferase (EC 2.1.1.-)	0.0033664990641618145
SSO:000001193__Beta-phosphoglucomutase (EC 5.4.2.6)	0.003275824549092333
SSO:000007415__Septation ring formation regulator EzrA	0.0032529620130918725
SSO:000003124__Glucose-1-phosphate adenylyltransferase (EC 2.7.7.27)	0.0031688012718933374
SSO:000000451__6-phospho-beta-glucosidase (EC 3.2.1.86)	0.0031655011564086233
SSO:000003114__Glucosamine-6-phosphate deaminase (EC 3.5.99.6)	0.003075303463323108
SSO:000043918__DNA-formamidopyrimidine glycosylase (EC 3.2.2.23)	0.0030224426789073806
SSO:000009045__bacteriocin immunity protein	0.0029137509599763845
SSO:000002977__GMP reductase (EC 1.7.1.7)	0.0028898099599201066
