feature	importance
SSO:000042678__glucuronate isomerase (EC 5.3.1.12)	0.006606802590379239
SSO:000004170__L-ribulose-5-phosphate 4-epimerase (EC 5.1.3.4)	0.0055479669631457494
SSO:000000919__Alpha-galactosidase (EC 3.2.1.22)	0.004564668190637888
SSO:000002538__Enoyl-CoA hydratase (EC 4.2.1.17)	0.004481998384087697
SSO:000029792__cytochrome c-1	0.004372939675760656
SSO:000043066__hypoxanthine phosphoribosyltransferase (EC 2.4.2.8)	0.003937394270378021
SSO:000017841__Histone deacetylase family protein	0.0038402313977424223
SSO:000008065__Thymidine kinase (EC 2.7.1.21)	0.003756916268672425
SSO:000005105__N-acetylglucosamine-6-phosphate deacetylase (EC 3.5.1.25)	0.003726825346584374
SSO:000009756__Membrane protein	0.00360460066679448
SSO:000019343__Mannose-6-phosphate isomerase class I (EC 5.3.1.8)	0.003579319599212273
SSO:000018739__L-arabinose isomerase (EC 5.3.1.4)	0.0033877982983257326
SSO:000010833__Arylesterase	0.003384793813735012
SSO:000004190__LPS export ABC transporter permease LptG	0.002737529544145875
SSO:000000563__ATP-dependent Clp protease ATP-binding subunit ClpA	0.002670712520996505
SSO:000019560__Methionine biosynthesis protein MetW	0.002666308076992092
SSO:000022980__PspC domain-containing protein	0.0026658559488477846
SSO:000043061__asparagine---tRNA ligase (EC 6.1.1.22)	0.0025863003793387468
SSO:000003114__Glucosamine-6-phosphate deaminase (EC 3.5.99.6)	0.0025251140592336984
SSO:000004709__Mannonate dehydratase (EC 4.2.1.8)	0.002522845706183684
