feature	importance
SSO:000029372__anaerobic ribonucleoside-triphosphate reductase activating protein	0.009899567338622942
SSO:000035277__Cytochrome c oxidase subunit 4 (EC 1.9.3.1)	0.006801418000982362
SSO:000012589__Cytochrome P-450	0.0066017456399348065
SSO:000007208__S-ribosylhomocysteine lyase (EC 4.4.1.21)	0.006395475547370279
SSO:000039072__S-(hydroxymethyl)mycothiol dehydrogenase (EC 1.1.1.306)	0.006270443941179647
SSO:000043620__mycothiol synthase (EC 2.3.1.189)	0.0061926602371715775
SSO:000002029__D-inositol-3-phosphate glycosyltransferase (EC 2.4.1.250)	0.005252762684059082
SSO:000000817__Adenosylhomocysteinase (EC 3.3.1.1)	0.005155559017217759
SSO:000010813__Leucyl aminopeptidase (EC 3.4.11.10)	0.0050698962969109775
SSO:000000920__Alpha-glucosidase (EC 3.2.1.20)	0.00498691339411629
SSO:000012628__Cytochrome c oxidase subunit I	0.004821894132122453
SSO:000044352__formate C-acetyltransferase (EC 2.3.1.54)	0.004246134467706724
SSO:000001853__Cystathionine beta-synthase (EC 4.2.1.22)	0.004217481185125688
SSO:000029482__c-type cytochrome	0.004103004693819031
SSO:000009559__2-phospho-L-lactate guanylyltransferase (EC 2.7.7.68)	0.003846501544502271
SSO:000007096__Ribonuclease Y	0.0038371968159749154
SSO:000043727__thiamine diphosphokinase (EC 2.7.6.2)	0.003755668945454894
SSO:000007570__Single-stranded-DNA-specific exonuclease RecJ (EC 3.1.-.-)	0.0036875350771438907
SSO:000003696__Imidazolonepropionase (EC 3.5.2.7)	0.003617516916998717
SSO:000000286__3-hydroxyacyl-CoA dehydrogenase (EC 1.1.1.35)	0.003586123269806716
