feature	importance
SSO:000012972__DUF1801 domain-containing protein	0.008913998312905338
SSO:000000925__Alpha-mannosidase (EC 3.2.1.24)	0.006070388719977574
SSO:000003108__Gluconokinase (EC 2.7.1.12)	0.005368018457311489
SSO:000008887__Uroporphyrinogen-III synthase (EC 4.2.1.75)	0.0052730585301965635
SSO:000016921__Fumarylacetoacetate hydrolase family protein	0.004923045704864584
SSO:000000035__14-dihydroxy-2-naphthoate polyprenyltransferase (EC 2.5.1.74)	0.0046506828196907135
SSO:000002281__Diaminopimelate epimerase (EC 5.1.1.7)	0.004421000565362473
SSO:000007094__Ribonuclease PH (EC 2.7.7.56)	0.004187591012300536
SSO:000008176__Transcription termination factor Rho	0.004116365959166806
SSO:000012290__CoA-binding protein	0.004085442089968629
SSO:000000919__Alpha-galactosidase (EC 3.2.1.22)	0.004035183471086789
SSO:000000826__Adenylylsulfate kinase (EC 2.7.1.25)	0.003773060404546284
SSO:000029028__Xaa-Pro dipeptidyl-peptidase	0.003754295931254693
SSO:000044172__hydroxyisourate hydrolase (EC 3.5.2.17)	0.0036780622214562264
SSO:000025241__Sugar kinase	0.0036204535040432508
SSO:000001940__Cytochrome d ubiquinol oxidase subunit II (EC 1.10.3.-)	0.0033198388147995827
SSO:000021723__Phosphotransferase	0.0032074758110580276
SSO:000033999__2-oxo-4-hydroxy-4-carboxy-5-ureidoimidazoline decarboxylase (EC 4.1.1.97)	0.0030284253849822786
SSO:000009661__4-alpha-glucanotransferase	0.0030025645482910095
SSO:000003007__Galactonate dehydratase (EC 4.2.1.6)	0.0028463211191569514
