feature	importance
SSO:000000919__Alpha-galactosidase (EC 3.2.1.22)	0.023129385386354735
SSO:000001182__Beta-galactosidase (EC 3.2.1.23)	0.009545664488483799
SSO:000018739__L-arabinose isomerase (EC 5.3.1.4)	0.007958958515425987
SSO:000025220__Sucrose phosphorylase (EC 2.4.1.7)	0.0075499543263786726
SSO:000004170__L-ribulose-5-phosphate 4-epimerase (EC 5.1.3.4)	0.0073056428050014815
SSO:000003006__Galactokinase (EC 2.7.1.6)	0.00696839292716641
SSO:000029073__Xylose isomerase	0.0050814258029185716
SSO:000000046__1-deoxy-D-xylulose 5-phosphate synthase (EC 2.2.1.7)	0.004954602390555219
SSO:000018761__L-glyceraldehyde 3-phosphate reductase	0.0038796333910038213
SSO:000033834__xylulokinase	0.0037262177818022015
SSO:000013618__FAD-binding protein	0.0036743468628307047
SSO:000003484__Homoserine O-succinyltransferase (EC 2.3.1.46)	0.00331689038550657
SSO:000033511__thiolase family protein	0.0030702400535635465
SSO:000000457__6-phosphogluconolactonase (EC 3.1.1.31)	0.0027662250159246862
SSO:000025246__Sugar phosphate isomerase/epimerase	0.0026057092508219313
SSO:000043945__histidinol-phosphate transaminase (EC 2.6.1.9)	0.002541755483113068
SSO:000009961__ADP-ribosylglycohydrolase family protein	0.0024940582430788135
SSO:000001398__Carbamate kinase (EC 2.7.2.2)	0.0024755393414311526
SSO:000001193__Beta-phosphoglucomutase (EC 5.4.2.6)	0.0023011922913169875
SSO:000025627__Thioredoxin domain-containing protein	0.0022927275991106166
