feature	importance
SSO:000000919__Alpha-galactosidase (EC 3.2.1.22)	0.009500677646266437
SSO:000003006__Galactokinase (EC 2.7.1.6)	0.007348493498493271
SSO:000001182__Beta-galactosidase (EC 3.2.1.23)	0.006402295602799185
SSO:000002538__Enoyl-CoA hydratase (EC 4.2.1.17)	0.005967310469389121
SSO:000010479__Alpha-N-arabinofuranosidase( EC:3.2.1.55 )	0.004780252856467997
SSO:000000286__3-hydroxyacyl-CoA dehydrogenase (EC 1.1.1.35)	0.004687200422923562
SSO:000013628__FAD:protein FMN transferase (EC 2.7.1.180)	0.004461010678932044
SSO:000004390__Lactoylglutathione lyase (EC 4.4.1.5)	0.004256453116074831
SSO:000004170__L-ribulose-5-phosphate 4-epimerase (EC 5.1.3.4)	0.004089652766840406
SSO:000018739__L-arabinose isomerase (EC 5.3.1.4)	0.003931222540315912
SSO:000010848__AsmA family protein	0.0033454293925878707
SSO:000029337__alpha-xylosidase (EC 3.2.1.177)	0.0030734634006919235
SSO:000003519__Hydroxyacylglutathione hydrolase (EC 3.1.2.6)	0.002831535565560435
SSO:000006904__RNA polymerase sigma factor RpoH	0.0028064572528059754
SSO:000004190__LPS export ABC transporter permease LptG	0.00275649677749496
SSO:000012809__DNA polymerase III subunit chi	0.0026851015255354013
SSO:000007096__Ribonuclease Y	0.0026503925974269284
SSO:000022980__PspC domain-containing protein	0.0026314489674533767
SSO:000003212__Glutathione S-transferase family protein	0.0025868541762706244
SSO:000007780__Succinate dehydrogenase hydrophobic membrane anchor protein	0.002574759368642581
