feature	importance
SSO:000000420__5-deoxy-glucuronate isomerase (EC 5.3.1.-)	0.01888677850832584
SSO:000042917__5-dehydro-2-deoxygluconokinase (EC 2.7.1.92)	0.018389755735837936
SSO:000043098__myo-inosose-2 dehydratase (EC 4.2.1.44)	0.013931731157163086
SSO:000043034__inositol 2-dehydrogenase (EC 1.1.1.18)	0.009256127805218286
SSO:000010813__Leucyl aminopeptidase (EC 3.4.11.10)	0.006772153814540092
SSO:000002919__Formyltetrahydrofolate deformylase (EC 3.5.1.10)	0.0064406216198254675
SSO:000000843__Agmatinase (EC 3.5.3.11)	0.005239894950440196
SSO:000007776__Succinate dehydrogenase cytochrome b-556 subunit	0.004252702910634996
SSO:000007779__Succinate dehydrogenase flavoprotein subunit (EC 1.3.99.1)	0.0041893637756151205
SSO:000018283__IclR-family transcriptional regulator	0.0038662848288043674
SSO:000012759__DNA gyrase inhibitor YacG	0.0038509308156769785
SSO:000004504__Lipoyl synthase (EC 2.8.1.8)	0.0038366706407347655
SSO:000005945__Phosphatidylserine decarboxylase (EC 4.1.1.65)	0.0037096883662112684
SSO:000001541__Choline dehydrogenase (EC 1.1.99.1)	0.0034594126677249693
SSO:000044172__hydroxyisourate hydrolase (EC 3.5.2.17)	0.0033779708016460856
SSO:000006879__Quinone oxidoreductase (EC 1.6.5.5)	0.00323420275629657
SSO:000001635__Cobalt-precorrin-6A reductase (EC 1.3.1.54)	0.00319770182689401
SSO:000006208__Precorrin-3B C(17)-methyltransferase (EC 2.1.1.131)	0.003167183607866802
SSO:000006206__Precorrin-2 C(20)-methyltransferase (EC 2.1.1.130)	0.003153794244297893
SSO:000042364__uroporphyrinogen-III C-methyltransferase (EC 2.1.1.107)	0.0030961945244723068
