feature	importance
SSO:000009287__putrescine-ornithine antiporter	0.012136181123506062
SSO:000011942__Carbon-nitrogen hydrolase family protein	0.006718814506847664
SSO:000001855__Cystathionine gamma-synthase (EC 2.5.1.48)	0.004328835267883195
SSO:000001635__Cobalt-precorrin-6A reductase (EC 1.3.1.54)	0.004137701387038239
SSO:000011127__Bifunctional DNA primase/polymerase	0.00390418610284328
SSO:000042404__cobyrinate ac-diamide synthase (EC 6.3.5.11)	0.0035664312331885333
SSO:000001640__Cobyric acid synthase (EC 6.3.5.10)	0.003530470160036826
SSO:000008066__Thymidine phosphorylase (EC 2.4.2.4)	0.003403414389871596
SSO:000005968__Phosphogluconate dehydratase (EC 4.2.1.12)	0.0032052982720525017
SSO:000001864__Cysteine synthase (EC 2.5.1.47)	0.003204243105224744
SSO:000043973__adenosylcobinamide-GDP ribazoletransferase (EC 2.7.8.26)	0.00312080700624152
SSO:000001853__Cystathionine beta-synthase (EC 4.2.1.22)	0.0030724796931358763
SSO:000003012__Galactose-1-phosphate uridylyltransferase (EC 2.7.7.10)	0.002964387198031962
SSO:000043812__N-acetyl-1-D-myo-inositol-2-amino-2-deoxy-alpha-D-glucopyranoside deacetylase (EC 3.5.1.103)	0.0029114710812163094
SSO:000033686__trehalose-phosphatase	0.0026628409978719137
SSO:000004155__L-lactate dehydrogenase (EC 1.1.1.27)	0.002649504824482239
SSO:000043620__mycothiol synthase (EC 2.3.1.189)	0.0025792012635605845
SSO:000000685__Acetolactate synthase large subunit (EC 2.2.1.6)	0.0025576444654093547
SSO:000009261__proteasome subunit alpha (EC 3.4.25.1)	0.0025362272305051
SSO:000001046__Arginine deiminase (EC 3.5.3.6)	0.0025350610954078165
