feature	importance
SSO:000019394__Mechanosensitive ion channel	0.008220657099251724
SSO:000016827__Flavocytochrome c	0.007951499871575613
SSO:000025121__Sterol desaturase family protein	0.006712158279887397
SSO:000005271__Na(+)-translocating NADH-quinone reductase subunit A (EC 1.6.5.-)	0.0066158390364888355
SSO:000037107__NADH:ubiquinone reductase (Na(+)-transporting) subunit F (EC 7.2.1.1)	0.006495226995005201
SSO:000011987__Catechol 12-dioxygenase (EC 1.13.11.1)	0.006342573636253848
SSO:000021578__Phenolic acid decarboxylase (EC 4.1.1.-)	0.006298501254322318
SSO:000044184__tRNAMet cytidine acetyltransferase (EC 2.3.1.193)	0.006124507424199845
SSO:000008385__Triphosphoribosyl-dephospho-CoA synthase (EC 2.4.2.52)	0.006005144774937187
SSO:000020559__Nitrite transporter NirC	0.005798251199708693
SSO:000012629__Cytochrome c peroxidase (EC 1.11.1.5)	0.0056307567971237635
SSO:000037105__NADH:ubiquinone reductase (Na(+)-transporting) subunit D (EC 7.2.1.1)	0.00540221967787383
SSO:000002278__Diaminobutyrate--2-oxoglutarate transaminase (EC 2.6.1.76)	0.0051425765002038985
SSO:000037103__NADH:ubiquinone reductase (Na(+)-transporting) subunit B (EC 7.2.1.1)	0.0050527148348110925
SSO:000005273__Na(+)-translocating NADH-quinone reductase subunit C (EC 1.6.5.-)	0.0050484835209797865
SSO:000037083__NADH-quinone oxidoreductase (EC 7.1.1.2) subunit B	0.004918977478734349
SSO:000023737__PyrBI operon leader peptide	0.004874722877765002
SSO:000029597__class II aldolase/adducin family protein	0.004866816630819411
SSO:000005134__N-hydroxyarylamine O-acetyltransferase (EC 2.3.1.118)	0.004487580666537575
SSO:000038656__Primary-amine oxidase (EC 1.4.3.21)	0.004257876188705855
