feature	importance
SSO:000007776__Succinate dehydrogenase cytochrome b-556 subunit	0.010456762908958597
SSO:000001478__Cell division protein ZapE	0.008141407834926883
SSO:000003160__Glutamate--cysteine ligase (EC 6.3.2.2)	0.007833380395150686
SSO:000000563__ATP-dependent Clp protease ATP-binding subunit ClpA	0.00738972319913372
SSO:000000298__3-hydroxyisobutyrate dehydrogenase (EC 1.1.1.31)	0.006490904825459081
SSO:000003209__Glutathione S-transferase (EC 2.5.1.18)	0.005778785075312017
SSO:000000670__Acetate kinase (EC 2.7.2.1)	0.005043847448794339
SSO:000006305__Prephenate dehydrogenase (EC 1.3.1.12)	0.005039335618150567
SSO:000010610__Aminopeptidase N	0.004671057457866073
SSO:000000464__8-amino-7-oxononanoate synthase (EC 2.3.1.47)	0.004581867376909285
SSO:000021359__Peptidase T (EC 3.4.11.-)	0.004333371525664485
SSO:000006033__Phosphoribosyl-AMP cyclohydrolase (EC 3.5.4.19)	0.0042890097915744795
SSO:000007779__Succinate dehydrogenase flavoprotein subunit (EC 1.3.99.1)	0.0038373419794033928
SSO:000009028__Protein-PII uridylyltransferase (EC 2.7.7.59)	0.003789813163067818
SSO:000002447__Electron transfer flavoprotein-ubiquinone oxidoreductase (EC 1.5.5.1)	0.0034900804265591825
SSO:000043061__asparagine---tRNA ligase (EC 6.1.1.22)	0.003420070633977794
SSO:000044308__adenosylmethionine---8-amino-7-oxononanoate transaminase (EC 2.6.1.62)	0.00339105811557336
SSO:000010266__Acyl-CoA synthetase	0.003388032118170776
SSO:000002538__Enoyl-CoA hydratase (EC 4.2.1.17)	0.003304240350641885
SSO:000001157__Bacterioferritin (EC 1.16.3.1)	0.0032941394046459957
