feature	importance
SSO:000018921__Pullulanase (EC 3.2.1.41)	0.0162170279903264
SSO:000037530__Undecaprenyldiphospho-muramoylpentapeptide beta-N-acetylglucosaminyltransferase (EC 2.4.1.227)	0.011009514539430238
SSO:000042259__nucleoside-triphosphate diphosphatase (EC 3.6.1.19)	0.010949108182033393
SSO:000026421__Tyrosine recombinase XerC	0.010924947962852791
SSO:000008622__UDP-N-acetylglucosamine--N-acetylmuramyl-(pentapeptide) pyrophosphoryl-undecaprenol N-acetylglucosamine transferase (EC 2.4.1.227)	0.010709915047051611
SSO:000001098__Aspartate--ammonia ligase (EC 6.3.1.1)	0.009624128967538037
SSO:000005972__Phosphoglycerate mutase (EC 5.4.2.1)	0.008411590133476516
SSO:000003108__Gluconokinase (EC 2.7.1.12)	0.008265875187284416
SSO:000000618__ATP-dependent nuclease subunit B	0.008193986526860523
SSO:000009057__biotin--acetyl-CoA-carboxylase ligase (EC 6.3.4.15 )	0.007783072322261846
SSO:000002612__Excinuclease ABC subunit B	0.007294971164972697
SSO:000018657__Isoprenylcysteine carboxyl methyltransferase family protein	0.007175849276471093
SSO:000006841__Pyruvate carboxylase (EC 6.4.1.1)	0.007017414650207907
SSO:000002097__DNA recombination protein RmuC	0.006883614883557213
SSO:000002538__Enoyl-CoA hydratase (EC 4.2.1.17)	0.006563667626440448
SSO:000012884__DNA topology modulation protein	0.00605624720635934
SSO:000005955__Phosphoenolpyruvate carboxylase (EC 4.1.1.31)	0.005917604129111739
SSO:000043945__histidinol-phosphate transaminase (EC 2.6.1.9)	0.005813961245210752
SSO:000012375__Competence protein ComGF	0.0056763192731643895
SSO:000000542__ATP phosphoribosyltransferase (EC 2.4.2.17)	0.005558229051502146
