feature	importance
SSO:000000919__Alpha-galactosidase (EC 3.2.1.22)	0.025175984732724574
SSO:000025220__Sucrose phosphorylase (EC 2.4.1.7)	0.013308884581556803
SSO:000001182__Beta-galactosidase (EC 3.2.1.23)	0.010194701313652398
SSO:000003006__Galactokinase (EC 2.7.1.6)	0.00808525131558455
SSO:000004170__L-ribulose-5-phosphate 4-epimerase (EC 5.1.3.4)	0.006326663591750418
SSO:000018739__L-arabinose isomerase (EC 5.3.1.4)	0.00553342949256372
SSO:000000913__Alpha-L-fucosidase (EC 3.2.1.51)	0.00514280631848541
SSO:000003484__Homoserine O-succinyltransferase (EC 2.3.1.46)	0.004721972777709712
SSO:000029063__alpha-L-arabinofuranosidase (EC 3.2.1.55)	0.004083805252744551
SSO:000029073__Xylose isomerase	0.0035566900676903767
SSO:000006902__RNA polymerase sigma factor RpoD	0.003493120110567231
SSO:000035962__Formate-dependent phosphoribosylglycinamide formyltransferase	0.0034342098665392806
SSO:000021269__Patatin family protein	0.0033988628021751725
SSO:000007796__Sucrose-6-phosphate hydrolase (EC 3.2.1.26)	0.0031599333548712077
SSO:000029506__carbohydrate kinase	0.0031461479931170393
SSO:000013154__Dipeptidase	0.002826500756943634
SSO:000042678__glucuronate isomerase (EC 5.3.1.12)	0.0027299665234155274
SSO:000002280__Diaminopimelate decarboxylase (EC 4.1.1.20)	0.002707857305489908
SSO:000043843__glycine---tRNA ligase (EC 6.1.1.14)	0.0026780048712095215
SSO:000001260__Branched-chain amino acid aminotransferase (EC 2.6.1.42)	0.002628977558453431
