feature	importance
SSO:000006904__RNA polymerase sigma factor RpoH	0.004926810767893163
SSO:000029792__cytochrome c-1	0.004635128780658985
SSO:000002538__Enoyl-CoA hydratase (EC 4.2.1.17)	0.004006097474939568
SSO:000003160__Glutamate--cysteine ligase (EC 6.3.2.2)	0.003800219512530381
SSO:000012809__DNA polymerase III subunit chi	0.0037996484230114953
SSO:000000298__3-hydroxyisobutyrate dehydrogenase (EC 1.1.1.31)	0.0037663039399251025
SSO:000013154__Dipeptidase	0.0037646507726603494
SSO:000000913__Alpha-L-fucosidase (EC 3.2.1.51)	0.0037257098958658743
SSO:000000563__ATP-dependent Clp protease ATP-binding subunit ClpA	0.0035915526945512507
SSO:000004390__Lactoylglutathione lyase (EC 4.4.1.5)	0.003403869456851153
SSO:000007780__Succinate dehydrogenase hydrophobic membrane anchor protein	0.0033864663008416184
SSO:000009756__Membrane protein	0.0033141582204947663
SSO:000017613__HTTM domain-containing protein	0.0032617067255460157
SSO:000004170__L-ribulose-5-phosphate 4-epimerase (EC 5.1.3.4)	0.0032255764052668318
SSO:000004053__Isocitrate lyase (EC 4.1.3.1)	0.0031765186577574133
SSO:000003519__Hydroxyacylglutathione hydrolase (EC 3.1.2.6)	0.00309209475407102
SSO:000007776__Succinate dehydrogenase cytochrome b-556 subunit	0.0030875526332837925
SSO:000003212__Glutathione S-transferase family protein	0.0030263242261621233
SSO:000000451__6-phospho-beta-glucosidase (EC 3.2.1.86)	0.0029966186558706294
SSO:000007096__Ribonuclease Y	0.002964478137532075
