feature	importance
SSO:000000919__Alpha-galactosidase (EC 3.2.1.22)	0.017296924847109273
SSO:000001182__Beta-galactosidase (EC 3.2.1.23)	0.011526407999638345
SSO:000013154__Dipeptidase	0.009249255458920832
SSO:000006902__RNA polymerase sigma factor RpoD	0.00879433688368602
SSO:000018718__LD-transpeptidase	0.008115396444302533
SSO:000003352__Heat-inducible transcription repressor HrcA	0.007628272404333787
SSO:000018739__L-arabinose isomerase (EC 5.3.1.4)	0.00724492915229134
SSO:000035962__Formate-dependent phosphoribosylglycinamide formyltransferase	0.006812068817348041
SSO:000043427__L-serine ammonia-lyase (EC 4.3.1.17)	0.006478656776832928
SSO:000003006__Galactokinase (EC 2.7.1.6)	0.006007388823781199
SSO:000025220__Sucrose phosphorylase (EC 2.4.1.7)	0.005736696528389075
SSO:000004170__L-ribulose-5-phosphate 4-epimerase (EC 5.1.3.4)	0.005395004795617183
SSO:000034571__Aldose 1-epimerase family protein	0.004989940737515807
SSO:000042577__NAD+ diphosphatase (EC 3.6.1.22)	0.004969257768904064
SSO:000005159__NAD kinase (EC 2.7.1.23)	0.004882651099303028
SSO:000029073__Xylose isomerase	0.0045750999054277024
SSO:000024110__Rhamnulokinase (EC 2.7.1.5)	0.004563521286422039
SSO:000001419__Carbonic anhydrase (EC 4.2.1.1)	0.004307995720146552
SSO:000022980__PspC domain-containing protein	0.00429184555554003
SSO:000013400__Endonuclease/exonuclease/phosphatase family protein	0.004244338856940986
