feature	importance
SSO:000003257__Glycerol-3-phosphate dehydrogenase (EC 1.1.5.3)	0.0063629272546184045
SSO:000029307__aldolase	0.00595545181364056
SSO:000042917__5-dehydro-2-deoxygluconokinase (EC 2.7.1.92)	0.005925149186146834
SSO:000000420__5-deoxy-glucuronate isomerase (EC 5.3.1.-)	0.005506238461120682
SSO:000036573__LPS-assembly protein LptD	0.004635333222452839
SSO:000001479__Cell division topological specificity factor MinE	0.004373640747174613
SSO:000004426__Leucyl/phenylalanyl-tRNA--protein transferase (EC 2.3.2.6)	0.004056478943575003
SSO:000001877__Cytochrome O ubiquinol oxidase subunit I (EC 1.10.3.-)	0.0038174935213617814
SSO:000001022__Apolipoprotein N-acyltransferase (EC 2.3.1.-)	0.003726889378924342
SSO:000035873__FMNH2-dependent alkanesulfonate monooxygenase (EC 1.14.14.5)	0.003670620735612006
SSO:000036484__L-arabinose ABC transporter ATP-binding protein AraG	0.003609342773173582
SSO:000003212__Glutathione S-transferase family protein	0.0035170776536156993
SSO:000043098__myo-inosose-2 dehydratase (EC 4.2.1.44)	0.0034914467731424884
SSO:000037094__NADH-quinone oxidoreductase (EC 7.1.1.2) subunit M	0.003476760336030694
SSO:000033999__2-oxo-4-hydroxy-4-carboxy-5-ureidoimidazoline decarboxylase (EC 4.1.1.97)	0.0034666607168433953
SSO:000008083__Tol-Pal system-associated acyl-CoA thioesterase	0.0032190487615584855
SSO:000020342__NADH:flavin oxidoreductase/NADH oxidase	0.003218466749116804
SSO:000044172__hydroxyisourate hydrolase (EC 3.5.2.17)	0.003125954339259118
SSO:000038753__Protein-methionine-sulfoxide reductase catalytic subunit MsrP	0.003041464082082376
SSO:000033834__xylulokinase	0.002990445109039581
