feature	importance
SSO:000019339__Mannitol-1-phosphate 5-dehydrogenase (EC 1.1.1.17)	0.011357221489948825
SSO:000025597__Thioesterase family protein	0.00921859253653908
SSO:000020835__OsmC family protein	0.007099671741357823
SSO:000012290__CoA-binding protein	0.006882672646702169
SSO:000025246__Sugar phosphate isomerase/epimerase	0.005802498559641264
SSO:000035974__Fructose-6-phosphate aldolase	0.0057335495034919306
SSO:000036322__S-methyl-5-thioribose-1-phosphate isomerase (EC 5.3.1.23)	0.0055217543258183795
SSO:000012248__Citrate transporter	0.004849912097780194
SSO:000010141__AbrB family transcriptional regulator	0.004536462697441685
SSO:000001582__Citrate lyase holo-acyl-carrier-protein synthase (EC 2.7.7.61)	0.0033670575006249323
SSO:000007779__Succinate dehydrogenase flavoprotein subunit (EC 1.3.99.1)	0.003094921534486448
SSO:000005953__Phosphoenolpyruvate carboxykinase ATP (EC 4.1.1.49)	0.0030271695982539426
SSO:000007796__Sucrose-6-phosphate hydrolase (EC 3.2.1.26)	0.003022177256321536
SSO:000004903__Methylthioribulose-1-phosphate dehydratase (EC 4.2.1.109)	0.0029269264062875117
SSO:000044172__hydroxyisourate hydrolase (EC 3.5.2.17)	0.0028999634094184087
SSO:000024332__SH3 domain-containing protein	0.002834163383248171
SSO:000012972__DUF1801 domain-containing protein	0.002805860934692398
SSO:000043098__myo-inosose-2 dehydratase (EC 4.2.1.44)	0.002693690711999254
SSO:000033847__zinc-binding dehydrogenase	0.002691065464141036
SSO:000000450__6-phospho-beta-galactosidase (EC 3.2.1.85)	0.002558949811840242
