feature	importance
SSO:000001856__Cysteine desulfurase (EC 2.8.1.7)	0.007444438844267571
SSO:000017291__Glutaminyl-peptide cyclotransferase (EC 2.3.2.5)	0.006275025014522537
SSO:000018718__LD-transpeptidase	0.00595201491166054
SSO:000002148__DNA-cytosine methyltransferase (EC 2.1.1.37)	0.005369638043844178
SSO:000005317__Nicotinate-nucleotide--dimethylbenzimidazole phosphoribosyltransferase (EC 2.4.2.21)	0.004592248949795225
SSO:000042404__cobyrinate ac-diamide synthase (EC 6.3.5.11)	0.0044514119996904465
SSO:000010242__Acyl transferase	0.003824245068251559
SSO:000005188__NAD-dependent malic enzyme (EC 1.1.1.38)	0.003761561921722891
SSO:000004449__Lipase (EC 3.1.1.3)	0.003690171652708534
SSO:000003322__Glyoxylate carboligase (EC 4.1.1.47)	0.003662604602574325
SSO:000044159__glycine C-acetyltransferase (EC 2.3.1.29)	0.0035395078764868405
SSO:000019394__Mechanosensitive ion channel	0.003501791492000509
SSO:000003324__Guanine deaminase (EC 3.5.4.3)	0.003474499558099211
SSO:000030003__glucose-6-phosphate dehydrogenase	0.0033123246748395455
SSO:000009621__3-hydroxybutyrate dehydrogenase (EC 1.1.1.30)	0.0033086144589147284
SSO:000034157__56-dimethylbenzimidazole synthase (EC 1.13.11.79)	0.0032767387201274915
SSO:000005475__O-succinylhomoserine sulfhydrylase (EC 2.5.1.48)	0.0031657518947785287
SSO:000018283__IclR-family transcriptional regulator	0.003147698218403643
SSO:000029148__YibE/F family protein	0.0030185532915237086
SSO:000043092__8-oxoguanine deaminase (EC 3.5.4.32)	0.0029452759096433904
