feature	importance
SSO:000008877__Uridine kinase (EC 2.7.1.48)	0.006666598610656029
SSO:000029508__carbohydrate-binding protein	0.005990098754986703
SSO:000005955__Phosphoenolpyruvate carboxylase (EC 4.1.1.31)	0.004994159962477871
SSO:000003006__Galactokinase (EC 2.7.1.6)	0.004747132891327944
SSO:000042727__UDP-glucose---hexose-1-phosphate uridylyltransferase (EC 2.7.7.12)	0.0040956300714935275
SSO:000017381__Glycosyl hydrolase	0.003837952506428972
SSO:000001182__Beta-galactosidase (EC 3.2.1.23)	0.003643796610204673
SSO:000005114__N-acetylmuramic acid 6-phosphate etherase (EC 4.2.-.-)	0.0034504449443399235
SSO:000000670__Acetate kinase (EC 2.7.2.1)	0.0033376753379072673
SSO:000024550__Serine O-acetyltransferase	0.0029836768173582087
SSO:000024558__Serine protease	0.0028576989993993533
SSO:000000298__3-hydroxyisobutyrate dehydrogenase (EC 1.1.1.31)	0.00272609638348892
SSO:000013144__DinB family protein	0.0024454933821839073
SSO:000036545__L-rhamnose mutarotase (EC 5.1.3.32)	0.0023499757795366885
SSO:000004170__L-ribulose-5-phosphate 4-epimerase (EC 5.1.3.4)	0.002340626611521027
SSO:000003212__Glutathione S-transferase family protein	0.002290864029882133
SSO:000029108__YaiI/YqxD family protein	0.002185248141409638
SSO:000004673__Malate synthase G (EC 2.3.3.9)	0.0020925962611913936
SSO:000020231__N-formylglutamate amidohydrolase	0.002082134504940177
SSO:000000919__Alpha-galactosidase (EC 3.2.1.22)	0.002054107158913391
