feature	importance
SSO:000008866__Urease accessory protein UreG	0.017387860106949277
SSO:000008865__Urease accessory protein UreF	0.01709674484254767
SSO:000008863__Urease accessory protein UreD	0.01483891709845021
SSO:000008864__Urease accessory protein UreE	0.011279997989325054
SSO:000044064__phosphoserine transaminase (EC 2.6.1.52)	0.004816497038676926
SSO:000035277__Cytochrome c oxidase subunit 4 (EC 1.9.3.1)	0.004697829090230391
SSO:000021661__Phosphoglyceromutase	0.0036849388843789095
SSO:000006841__Pyruvate carboxylase (EC 6.4.1.1)	0.0036819429085118956
SSO:000013395__Endonuclease NucS	0.003524944473218807
SSO:000009218__phosphoribosylformylglycinamidine synthase (EC 6.3.5.3 )	0.0032899424532359845
SSO:000043620__mycothiol synthase (EC 2.3.1.189)	0.002992532053105829
SSO:000029759__coproporphyrinogen III oxidase	0.002929512962164338
SSO:000029372__anaerobic ribonucleoside-triphosphate reductase activating protein	0.0028365729166632213
SSO:000008953__WhiB family transcriptional regulator	0.0028174610607907802
SSO:000024157__Ribose 5-phosphate isomerase (EC 5.3.1.6)	0.0027838277888978043
SSO:000029992__globin	0.0026461030291123505
SSO:000031624__prepilin-type N-terminal cleavage/methylation domain-containing protein	0.002639775446934119
SSO:000028881__Uroporphyrinogen decarboxylase	0.0025419732021236974
SSO:000002076__DNA mismatch repair protein MutS	0.0024724774130141496
SSO:000001853__Cystathionine beta-synthase (EC 4.2.1.22)	0.0024719109229830462
