feature	importance
SSO:000036573__LPS-assembly protein LptD	0.8796578444948923
SSO:000008104__TonB-dependent receptor	0.720688302019267
SSO:000008604__UDP-3-O-3-hydroxymyristoyl glucosamine N-acyltransferase (EC 2.3.1.-)	0.650741113766911
SSO:000006816__Pyridoxine 5'-phosphate synthase (EC 2.6.99.2)	0.35136703805538233
SSO:000004460__Lipid-A-disaccharide synthase (EC 2.4.1.182)	0.3423223681927135
SSO:000033044__pyrimidine 5'-nucleotidase	0.2457206819833774
SSO:000024227__Rod shape-determining protein	0.1984993162120978
SSO:000007862__Superoxide dismutase Fe (EC 1.15.1.1)	0.1884489517247105
SSO:000006040__Phosphoribosylanthranilate isomerase (EC 5.3.1.24)	0.18177532261810073
SSO:000020789__OmpA family protein	0.17498752395738687
SSO:000013635__FHA domain-containing protein	0.17166205507822635
SSO:000043994__3-deoxy-8-phosphooctulonate synthase (EC 2.5.1.55)	0.16497529806756162
SSO:000002793__Flagellar basal-body P-ring formation protein FlgA	0.15965561843097067
SSO:000024182__Ribosome maturation factor rimM	0.1500176849595837
SSO:000004958__MotA/TolQ/ExbB proton channel family protein	0.12263642807186254
SSO:000002230__DegV family protein	0.11391326128189248
SSO:000002241__Demethylmenaquinone methyltransferase (EC 2.1.1.163)	0.11190425941785152
SSO:000002076__DNA mismatch repair protein MutS	0.11142286617711364
SSO:000020884__Outer membrane lipoprotein-sorting protein	0.11081315558726698
SSO:000001295__CCA tRNA nucleotidyltransferase (EC 2.7.7.72)	0.10974547133456834
