feature	importance
SSO:000002814__Flagellar hook-basal body complex protein FliE	0.2635650736132662
SSO:000002796__Flagellar basal-body rod protein FlgC	0.2562835857959187
SSO:000002819__Flagellar motor switch protein FliM	0.2378859033075014
SSO:000019203__METHYL-ACCEPTING CHEMOTAXIS PROTEIN	0.23483731699152224
SSO:000002802__Flagellar biosynthesis protein FlhF	0.22456413920958343
SSO:000016805__Flagellar motor protein MotB	0.18713300063076582
SSO:000002795__Flagellar basal-body rod protein FlgB	0.17298914956132377
SSO:000002805__Flagellar biosynthesis protein FliQ	0.16007203114697613
SSO:000012160__Chemotaxis response regulator protein-glutamate methylesterase (EC 3.1.1.61)	0.14959273047873897
SSO:000035923__Flagellar export protein FliJ	0.13135027673146168
SSO:000002815__Flagellar hook-length control protein FliK	0.11792540243877599
SSO:000002812__Flagellar hook-associated protein FlgK	0.11335283801457029
SSO:000021790__PilZ domain-containing protein	0.10287621153675014
SSO:000020822__Organic hydroperoxide resistance protein	0.09526600000540532
SSO:000002801__Flagellar biosynthesis protein FlhB	0.09474102814046646
SSO:000002813__Flagellar hook-associated protein FlgL	0.08561383631556872
SSO:000017928__Hydantoinase/oxoprolinase family protein	0.08367556187806083
SSO:000018456__Inositol monophosphatase family protein	0.08287625427913904
SSO:000029108__YaiI/YqxD family protein	0.08068765048765165
SSO:000005188__NAD-dependent malic enzyme (EC 1.1.1.38)	0.07901777142206096
