feature	importance
SSO:000043905__4a-hydroxytetrahydrobiopterin dehydratase (EC 4.2.1.96)	0.567129727712252
SSO:000013144__DinB family protein	0.4650426429027175
SSO:000000701__Acetyl-CoA C-acyltransferase (EC 2.3.1.16)	0.36399282846493247
SSO:000030895__iron-sulfur cluster assembly accessory protein	0.3341200891876979
SSO:000013134__Dihydroorotate dehydrogenase	0.3222402503459715
SSO:000029372__anaerobic ribonucleoside-triphosphate reductase activating protein	0.30855304383545995
SSO:000029974__gamma-glutamyltransferase( EC:2.3.2.2 )	0.27746014945402764
SSO:000002683__Fatty acid desaturase (EC 1.14.19.1)	0.25839768839336985
SSO:000013622__FAD-dependent monooxygenase	0.21413097548903637
SSO:000003277__Glycine oxidase ThiO (EC 1.4.3.19)	0.207864509827748
SSO:000017976__Hydroxylamine reductase (EC 1.7.99.1)	0.2016684529060649
SSO:000002250__Deoxyribodipyrimidine photolyase (EC 4.1.99.3)	0.19853231896762047
SSO:000000206__2-oxoglutarate dehydrogenase E1 component (EC 1.2.4.2)	0.19345557779501366
SSO:000004504__Lipoyl synthase (EC 2.8.1.8)	0.1752720683359583
SSO:000012589__Cytochrome P-450	0.165482565820354
SSO:000017597__HTH domain-containing protein	0.14916712407854824
SSO:000000406__5-(carboxyamino)imidazole ribonucleotide synthase (EC 6.3.4.18)	0.14790391904626843
SSO:000010682__Anti-sigma factor	0.1457848093614768
SSO:000000286__3-hydroxyacyl-CoA dehydrogenase (EC 1.1.1.35)	0.13777486993595128
SSO:000019509__Metal-dependent hydrolase	0.13215363829717933
