feature	importance
SSO:000025068__Sporulation protein	0.4023731807869705
SSO:000034380__ABC-F type ribosomal protection protein 	0.3570154517434232
SSO:000007097__Ribonuclease Z (EC 3.1.26.11)	0.35137754329920745
SSO:000001091__Aspartate 1-decarboxylase (EC 4.1.1.11)	0.24247620366035555
SSO:000025053__Sporulation integral membrane protein YlbJ	0.23666413294493455
SSO:000035439__DUF402 domain-containing protein	0.22684245218040083
SSO:000023921__Redox-sensing transcriptional repressor Rex	0.2242525353048122
SSO:000042897__acetoacetate---CoA ligase (EC 6.2.1.16)	0.22331510938567947
SSO:000012992__DUF350 domain-containing protein	0.22164243660381797
SSO:000002241__Demethylmenaquinone methyltransferase (EC 2.1.1.163)	0.2212657873277283
SSO:000002702__Ferredoxin (EC 1.18.1.3 )	0.19215805990217005
SSO:000007697__Stage III sporulation protein AA	0.18681491459660915
SSO:000017300__Glutaredoxin-like protein nrdH	0.18530064754711228
SSO:000042174__acetylornithine transaminase	0.17836284351864393
SSO:000025595__Thioesterase	0.16925453909294033
SSO:000017050__Gas vesicle protein	0.15152432711844285
SSO:000025017__Spore coat protein	0.1481665567309411
SSO:000003012__Galactose-1-phosphate uridylyltransferase (EC 2.7.7.10)	0.12750112402744176
SSO:000021054__PASTA domain containing protein	0.12640810900620314
SSO:000024867__Small acid-soluble spore protein alpha/beta type	0.119273161577042
