feature	importance
SSO:000036573__LPS-assembly protein LptD	0.34979481931651524
SSO:000024182__Ribosome maturation factor rimM	0.09152243913391771
SSO:000002230__DegV family protein	0.020738837684618656
SSO:000012016__Cd(II)/Pb(II)-responsive transcriptional regulator	0.017657299670408723
SSO:000020884__Outer membrane lipoprotein-sorting protein	0.01006426067560261
SSO:000000116__2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase (EC 2.7.7.60)	0.00906185286642901
SSO:000010833__Arylesterase	0.007001536892138345
SSO:000031056__metalloenzyme domain protein	0.005753350162300797
SSO:000012210__Chorismate mutase	0.00552087930300321
SSO:000002975__GDP-mannose pyrophosphatase NudK	0.004437231896723305
SSO:000008885__Uroporphyrinogen III decarboxylase (EC 4.1.1.37)	0.004383590125632627
SSO:000002109__DNA repair protein RecN	0.004236251394579737
SSO:000007701__Stage III sporulation protein AE	0.003989698156648993
SSO:000000325__3-oxoacid CoA-transferase (EC 2.8.3.5)	0.0031681144617546927
SSO:000025220__Sucrose phosphorylase (EC 2.4.1.7)	0.0029998275362918777
SSO:000007864__Superoxide dismutase Mn (EC 1.15.1.1)	0.0028419093200254633
SSO:000033516__thrombospondin type 3 repeat-containing protein	0.0026879462003157597
SSO:000002315__Dihydropyrimidinase (EC 3.5.2.2)	0.0023440485539583805
SSO:000007156__Ribulokinase (EC 2.7.1.16)	0.0020978749509766373
SSO:000012775__DNA integrity scanning protein DisA	0.0019723515026714242
