feature	importance
SSO:000002795__Flagellar basal-body rod protein FlgB	0.18308957152064434
SSO:000002839__Flagellin	0.06378305343015095
SSO:000016805__Flagellar motor protein MotB	0.0476786249227176
SSO:000002805__Flagellar biosynthesis protein FliQ	0.034872771691269996
SSO:000043244__geranylgeranylglycerol-phosphate geranylgeranyltransferase (EC 2.5.1.42)	0.03164046809479167
SSO:000002802__Flagellar biosynthesis protein FlhF	0.024169765062585485
SSO:000043066__hypoxanthine phosphoribosyltransferase (EC 2.4.2.8)	0.01928242651824288
SSO:000042174__acetylornithine transaminase	0.019045253121735294
SSO:000022945__Protein-L-isoaspartate(D-aspartate) O-methyltransferase( EC:2.1.1.77 )	0.01867129364497628
SSO:000013192__DnaD domain protein	0.017664423346657875
SSO:000009334__tRNA (cytidine(34)-2'-O)-methyltransferase (EC 2.1.1.207)	0.016958192977045466
SSO:000021274__Patatin-like phospholipase family protein	0.014809230154945069
SSO:000020985__Oxygen-independent coproporphyrinogen III oxidase	0.013487579585737321
SSO:000028910__VanZ family protein	0.012903306357483869
SSO:000005809__Peptidyl-prolyl cis-trans isomerase (EC 5.2.1.8)	0.011428697128600005
SSO:000029525__cation diffusion facilitator family transporter	0.010641646490403691
SSO:000002819__Flagellar motor switch protein FliM	0.01060050656538925
SSO:000021761__Phytase	0.009665996699978108
SSO:000044159__glycine C-acetyltransferase (EC 2.3.1.29)	0.009312644571066597
SSO:000013035__DedA family protein	0.008373130602939056
