feature	importance
SSO:000004504__Lipoyl synthase (EC 2.8.1.8)	0.23201676791569695
SSO:000035652__Peptide-methionine (S)-S-oxide reductase MsrA (EC 1.8.4.11)	0.06833099202636361
SSO:000017976__Hydroxylamine reductase (EC 1.7.99.1)	0.059406447112222656
SSO:000005342__Nitrite reductase (EC 1.7.2.1)	0.03776254613891879
SSO:000000381__4-hydroxyproline epimerase (EC 5.1.1.8)	0.03132472330635041
SSO:000002270__Diacylglycerol kinase (EC 2.7.1.107)	0.02788946598441933
SSO:000000315__3-methyl-2-oxobutanoate hydroxymethyltransferase (EC 2.1.2.11)	0.02622462705608851
SSO:000029372__anaerobic ribonucleoside-triphosphate reductase activating protein	0.025980780064002725
SSO:000028839__Universal stress protein	0.023198252671002027
SSO:000013137__Dihydroorotate dehydrogenase-like protein	0.021343672174097262
SSO:000000159__2-hydroxy-3-oxopropionate reductase (EC 1.1.1.60)	0.0201611047236325
SSO:000007158__Ribulose bisphosphate carboxylase (EC 4.1.1.39)	0.018392284292701552
SSO:000034727__Autonomous glycyl radical cofactor GrcA	0.017949164884592115
SSO:000003153__Glutamate racemase (EC 5.1.1.3)	0.016380148834323704
SSO:000024791__Site-specific DNA-methyltransferase	0.015363456259094826
SSO:000002702__Ferredoxin (EC 1.18.1.3 )	0.012935135057322146
SSO:000020865__Outer membrane beta-barrel protein	0.010470324246832462
SSO:000034571__Aldose 1-epimerase family protein	0.00903568479732897
SSO:000016725__Fibrinogen-binding protein	0.007451829704649573
SSO:000042475__5-methyltetrahydropteroyltriglutamate---homocysteine S-methyltransferase (EC 2.1.1.14)	0.005230704908981781
