feature	importance
SSO:000025068__Sporulation protein	0.16975429726264474
SSO:000007697__Stage III sporulation protein AA	0.08118373209128858
SSO:000023921__Redox-sensing transcriptional repressor Rex	0.0756220169745765
SSO:000020544__Nitric oxide synthase oxygenase (EC 1.-.-.-)	0.03979136913022205
SSO:000002702__Ferredoxin (EC 1.18.1.3 )	0.031001852484789743
SSO:000012811__DNA polymerase III subunit delta'	0.02418650496698533
SSO:000010833__Arylesterase	0.022943764554313087
SSO:000001864__Cysteine synthase (EC 2.5.1.47)	0.019338336181067277
SSO:000025027__Spore cortex-lytic enzyme	0.011946749416486479
SSO:000008961__Xanthine phosphoribosyltransferase (EC 2.4.2.22)	0.009201137457320333
SSO:000042567__mercury(II) reductase (EC 1.16.1.1)	0.00790315893766282
SSO:000017637__Haloalkane dehalogenase (EC 3.8.1.5)	0.007233455939333527
SSO:000009661__4-alpha-glucanotransferase	0.0068755152676560245
SSO:000005097__N-acetyl-gamma-glutamyl-phosphate reductase (EC 1.2.1.38)	0.00675979253332924
SSO:000010697__Anti-sigma-V factor RsiV	0.005624400509020343
SSO:000009313__stage V sporulation protein B	0.005311482575733133
SSO:000016824__Flavin reductase (EC 1.5.1.30)	0.004341838029500944
SSO:000013628__FAD:protein FMN transferase (EC 2.7.1.180)	0.0038540995852703415
SSO:000001044__Arginine decarboxylase (EC 4.1.1.19)	0.0037963745395961108
SSO:000033054__radical SAM protein	0.003391363557865968
