feature	importance
SSO:000002814__Flagellar hook-basal body complex protein FliE	0.012406388827332093
SSO:000002818__Flagellar motor switch protein FliG	0.012066662233034306
SSO:000002796__Flagellar basal-body rod protein FlgC	0.011412345315577069
SSO:000002819__Flagellar motor switch protein FliM	0.011328995464604256
SSO:000002795__Flagellar basal-body rod protein FlgB	0.010439807111079452
SSO:000002812__Flagellar hook-associated protein FlgK	0.01032426472148563
SSO:000002800__Flagellar biosynthesis protein FlhA	0.01019008008933114
SSO:000002805__Flagellar biosynthesis protein FliQ	0.009673200274663106
SSO:000002788__Flagellar M-ring protein FliF	0.0094487024784861
SSO:000002802__Flagellar biosynthesis protein FlhF	0.008928477087048185
SSO:000002798__Flagellar basal-body rod protein FlgG	0.008643649235409065
SSO:000002815__Flagellar hook-length control protein FliK	0.007749854349932877
SSO:000002801__Flagellar biosynthesis protein FlhB	0.007686077102640336
SSO:000012160__Chemotaxis response regulator protein-glutamate methylesterase (EC 3.1.1.61)	0.007606418300871107
SSO:000016805__Flagellar motor protein MotB	0.007003138224563767
SSO:000019203__METHYL-ACCEPTING CHEMOTAXIS PROTEIN	0.00671689261061894
SSO:000012147__Chemotaxis protein CheA (EC 2.7.3.-)	0.006469669861163628
SSO:000002820__Flagellar motor switch protein FliN	0.006342501206001337
SSO:000035923__Flagellar export protein FliJ	0.005998529394469872
SSO:000002797__Flagellar basal-body rod protein FlgF	0.005997343295268956
