feature	importance
SSO:000028881__Uroporphyrinogen decarboxylase	0.008848877898143124
SSO:000029372__anaerobic ribonucleoside-triphosphate reductase activating protein	0.00851102163182572
SSO:000043905__4a-hydroxytetrahydrobiopterin dehydratase (EC 4.2.1.96)	0.008399274397856921
SSO:000013622__FAD-dependent monooxygenase	0.007772177740948793
SSO:000002250__Deoxyribodipyrimidine photolyase (EC 4.1.99.3)	0.007697807600845828
SSO:000000701__Acetyl-CoA C-acyltransferase (EC 2.3.1.16)	0.007345645805637392
SSO:000030895__iron-sulfur cluster assembly accessory protein	0.007318692924588826
SSO:000000074__2345-tetrahydropyridine-26-dicarboxylate N-succinyltransferase (EC 2.3.1.117)	0.006968423483887416
SSO:000009584__2OG-Fe(II) oxygenase	0.006555065464498716
SSO:000004504__Lipoyl synthase (EC 2.8.1.8)	0.006399126375742099
SSO:000029974__gamma-glutamyltransferase( EC:2.3.2.2 )	0.006348669473808555
SSO:000000380__4-hydroxyphenylpyruvate dioxygenase (EC 1.13.11.27)	0.006242483360984596
SSO:000013134__Dihydroorotate dehydrogenase	0.006179695727300499
SSO:000000206__2-oxoglutarate dehydrogenase E1 component (EC 1.2.4.2)	0.005619289155338894
SSO:000029482__c-type cytochrome	0.0055814417359000175
SSO:000012589__Cytochrome P-450	0.005564773895784095
SSO:000012628__Cytochrome c oxidase subunit I	0.005446919601918514
SSO:000002683__Fatty acid desaturase (EC 1.14.19.1)	0.005179270714447092
SSO:000024194__Rieske (2Fe-2S) domain-containing protein	0.00511748493507482
SSO:000002897__Formate--tetrahydrofolate ligase (EC 6.3.4.3)	0.004958326996258002
