feature	importance
SSO:000025068__Sporulation protein	0.008942308715967854
SSO:000023921__Redox-sensing transcriptional repressor Rex	0.007896822036279293
SSO:000002241__Demethylmenaquinone methyltransferase (EC 2.1.1.163)	0.0073033454177757785
SSO:000002702__Ferredoxin (EC 1.18.1.3 )	0.0070768265743266145
SSO:000035439__DUF402 domain-containing protein	0.006453343981082653
SSO:000007937__Tetraacyldisaccharide 4'-kinase (EC 2.7.1.130)	0.005980371709978124
SSO:000022969__Protoporphyrinogen oxidase	0.005928286444193033
SSO:000007697__Stage III sporulation protein AA	0.005872044620440602
SSO:000006816__Pyridoxine 5'-phosphate synthase (EC 2.6.99.2)	0.005827720485923993
SSO:000004460__Lipid-A-disaccharide synthase (EC 2.4.1.182)	0.005551366542448786
SSO:000036573__LPS-assembly protein LptD	0.005548932024581187
SSO:000001005__Anti-sigma F factor (EC 2.7.11.1)	0.005540486454511106
SSO:000036507__L-glutamate gamma-semialdehyde dehydrogenase (EC 1.2.1.88)	0.005517931787517067
SSO:000007707__Stage IV sporulation protein A	0.005305227105699486
SSO:000025017__Spore coat protein	0.005173540460607951
SSO:000008104__TonB-dependent receptor	0.005157838578703942
SSO:000022976__PspA/IM30 family protein	0.004722049204454313
SSO:000025054__Sporulation integral membrane protein YtvI	0.004688770634178325
SSO:000008604__UDP-3-O-3-hydroxymyristoyl glucosamine N-acyltransferase (EC 2.3.1.-)	0.004676343764029396
SSO:000007702__Stage III sporulation protein AF	0.004628008545276964
